Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
6/21/16,12,Burglary,10H10,Residence or House,4700-4799,BRADY,ST,-,1
6/23/16,0,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,BURR,-,-,1
6/23/16,10,Theft,10H10,"Road, Street, or Sidewalk",2900-2999,CANAL,ST,-,1
6/24/16,4,Theft,10H10,Garage or Carport,2100-2199,CANAL,ST,-,1
6/24/16,8,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
6/24/16,19,Robbery,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-,1
6/24/16,22,Theft,10H10,"Road, Street, or Sidewalk",100-199,N. ENNIS,-,-,1
6/25/16,8,Burglary,10H10,Office Building,6000-6099,HARRISBURG,-,-,1
6/25/16,17,Theft,10H10,"Libraries, Museums",100-199,MILBY,ST,N,1
6/26/16,16,Theft,10H10,Driveway,2200-2299,ANN,ST,-,1
6/26/16,19,Aggravated Assault,10H10,Residence or House,500-599,ESTELLE,ST,N,1
6/28/16,13,Aggravated Assault,10H10,Apartment,UNK,CANAL,CT,-,1
6/28/16,16,Theft,10H10,"Vacant Single Occ Resd(House,Townhs,Dplex)",4700-4799,BRADY,ST,-,1
6/28/16,22,Theft,10H10,Other Parking Lot,2300-2399,CANAL,ST,-,1
6/29/16,8,Auto Theft,10H10,"Road, Street, or Sidewalk",2200-2299,COMMERCE,ST,-,1
6/29/16,16,Theft,10H10,Department or Discount Store,3400-3499,NAVIGATION,-,-,1
6/29/16,22,Robbery,10H10,Light Rail Platform,5500-5599,HARRISBURG,-,-,1
6/30/16,20,Auto Theft,10H10,Driveway,300-399,BURR,-,-,1
6/3/16,17,Aggravated Assault,10H10,Driveway,200-299,ESTELLE,ST,N,1
6/5/16,21,Burglary,10H10,Garage or Carport,4200-4299,BERING,-,-,1
6/7/16,4,Burglary,10H10,Residence or House,200-299,EASTWOOD,ST,N,1
6/7/16,9,Theft,10H10,Auto Repair,2100-2199,RUNNELS,-,-,1
6/7/16,21,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,STILES,-,-,4
6/7/16,22,Burglary,10H10,Warehouse,500-599,BRYAN,-,N,1
6/8/16,10,Burglary,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",4700-4799,HARRISBURG,-,-,1
6/8/16,14,Theft,10H10,Park and Ride Terminal,UNK,DUMBLE,ST,-,1
6/8/16,15,Burglary,10H10,Residence or House,5000-5099,BRADY,ST,-,1
6/8/16,15,Robbery,10H10,"Road, Street, or Sidewalk",5600-5699,BRADY,ST,-,1
6/8/16,17,Robbery,10H10,"Road, Street, or Sidewalk",2000-2099,RUNNELS,-,-,1
6/8/16,18,Theft,10H10,Police Station,6100-6199,INDUSTRIAL,WAY,-,2
6/9/16,16,Auto Theft,10H10,Residence or House,4400-4499,CANAL,ST,-,1
6/10/16,6,Auto Theft,10H10,Commercial Parking Lot or Garage,300-399,PALMER,-,-,1
6/11/16,22,Theft,10H10,"Road, Street, or Sidewalk",2800-2899,ENGELKE,-,-,1
6/13/16,10,Burglary,10H10,"Other, Unknown, or Not Listed",5200-5299,BRADY,ST,-,1
6/13/16,11,Burglary,10H10,"Other, Unknown, or Not Listed",UNK,LENOX,-,-,1
6/13/16,15,Theft,10H10,"Road, Street, or Sidewalk",300-399,LATHAM,-,-,1
6/13/16,18,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,LENOX,-,-,1
6/14/16,9,Burglary,10H10,Driveway,500-599,EVERTON,ST,N,1
6/16/16,21,Theft,10H10,Drug Store or Medical Supply,4500-4599,HARRISBURG,-,-,1
6/17/16,11,Burglary,10H10,Warehouse,4900-4999,NAVIGATION,-,-,1
6/19/16,11,Burglary,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,4700-4799,HARRISBURG,-,-,1
6/20/16,9,Theft,10H10,"Road, Street, or Sidewalk",200-299,ENNIS,ST,N,1
6/28/16,14,Burglary,10H20,"Other, Unknown, or Not Listed",700-799,TELEPHONE,-,-,1
6/26/16,17,Burglary,10H20,Residence or House,5200-5299,LEELAND,-,-,1
6/26/16,22,Aggravated Assault,10H20,Residence or House,800-899,OAKHURST,-,-,1
6/25/16,23,Robbery,10H20,Residence or House,4300-4399,WALKER,ST,-,1
6/23/16,18,Theft,10H20,"Other, Unknown, or Not Listed",4300-4399,JEFFERSON,ST,-,1
6/21/16,14,Theft,10H20,"Other, Unknown, or Not Listed",4700-4799,RUSK,ST,-,1
6/3/16,20,Burglary,10H20,Apartment,4000-4099,LAMAR,-,-,1
6/3/16,12,Burglary,10H20,Garage or Carport,4000-4099,LAMAR,-,-,1
6/4/16,6,Robbery,10H20,Grocery Store or Supermarket Parking Lot,4100-4199,POLK,-,-,1
6/1/16,20,Theft,10H20,Residence or House,1500-1599,LOMBARDY,ST,-,1
6/2/16,10,Burglary,10H20,Residence or House,4000-4099,WALKER,ST,-,1
6/19/16,13,Theft,10H20,"Road, Street, or Sidewalk",1400-1499,LOMBARDY,ST,-,1
