Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
6/17/16,14,Theft,10H20,Driveway,1700-1799,TELEPHONE,-,-,1
6/16/16,21,Theft,10H20,Elementary School,5400-5499,LAWNDALE,-,-,1
6/16/16,22,Theft,10H20,Other Parking Lot,5400-5499,LAWNDALE,-,-,1
6/13/16,22,Aggravated Assault,10H20,Apartment,5300-5399,POLK,-,-,1
6/14/16,22,Aggravated Assault,10H20,Residence or House,3900-3999,RUSK,ST,-,2
6/15/16,0,Burglary,10H20,Barber And Beauty Shops,1300-1399,TELEPHONE,-,-,1
6/13/16,8,Aggravated Assault,10H20,Service or Gas Station,4700-4799,GULF,FWY,-,1
6/11/16,16,Theft,10H20,Residence or House,200-299,TELEPHONE,RD,-,1
6/21/16,20,Theft,10H30,"Road, Street, or Sidewalk",1900-1999,SAMPSON,-,-,1
6/21/16,21,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,DALLAS,ST,-,1
6/22/16,1,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,2
6/21/16,0,Theft,10H30,Other Parking Lot,900-999,SAINT EMANUEL,ST,-,1
6/24/16,0,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS,ST,-,1
6/23/16,11,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,CONGRESS,-,-,1
6/23/16,13,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,CAPITOL,ST,-,1
6/23/16,14,Burglary,10H30,Residence or House,2700-2799,CLAY,-,-,1
6/22/16,22,Theft,10H30,"Road, Street, or Sidewalk",900-999,BASTROP,ST,-,1
6/22/16,11,Robbery,10H30,"Road, Street, or Sidewalk",1000-1099,PALMER,ST,-,1
6/26/16,3,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,LEELAND,-,-,1
6/27/16,17,Theft,10H30,Bar or Night Club Parking Lot,2000-2099,LEELAND,-,-,1
6/25/16,19,Burglary,10H30,Residence or House,2200-2299,MCKINNEY,ST,-,1
6/24/16,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,LAMAR,-,-,1
6/28/16,2,Burglary,10H30,Residence or House,1400-1499,PALMER,ST,-,1
6/29/16,19,Robbery,10H30,Convenience Store,2000-2099,PEASE,-,-,1
6/30/16,15,Theft,10H30,"Road, Street, or Sidewalk",1700-1799,HUTCHINS,-,-,1
6/30/16,16,Theft,10H30,"Road, Street, or Sidewalk",1700-1799,HUTCHINS,-,-,1
6/4/16,8,Aggravated Assault,10H30,"Road, Street, or Sidewalk",1900-1999,BASTROP,ST,-,1
6/4/16,7,Theft,10H30,Apartment Parking Lot,2100-2199,CAPITOL,ST,-,1
6/3/16,23,Theft,10H30,"Road, Street, or Sidewalk",900-999,BASTROP,ST,-,1
6/3/16,14,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,CAPITOL,ST,-,1
6/3/16,15,Theft,10H30,"Road, Street, or Sidewalk",2500-2599,LAMAR,-,-,1
6/6/16,19,Theft,10H30,Bar or Night Club,UNK,RUSK,ST,-,1
6/6/16,17,Theft,10H30,Residence or House,1300-1399,MILBY,-,-,1
6/5/16,15,Theft,10H30,Other Parking Lot,900-999,SAINT EMANUEL,ST,-,1
6/9/16,8,Theft,10H30,Miscellaneous Business (Non-Specific),2300-2399,MCKINNEY,ST,-,1
6/8/16,18,Theft,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",2500-2599,LAMAR,-,-,1
6/9/16,1,Theft,10H30,"Road, Street, or Sidewalk",800-899,SAINT EMANUEL,ST,-,1
6/7/16,16,Burglary,10H30,Residence or House,2600-2699,CLAY,-,-,1
6/11/16,2,Theft,10H30,Bar or Night Club Parking Lot,2000-2099,LEELAND,-,-,1
6/10/16,18,Auto Theft,10H30,"Road, Street, or Sidewalk",2100-2199,CAPITOL,ST,-,1
6/13/16,0,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
6/12/16,21,Auto Theft,10H30,"Road, Street, or Sidewalk",1900-1999,EDMUNDSON,ST,-,1
6/13/16,12,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,WALKER,ST,-,1
6/12/16,4,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-,-,1
6/14/16,18,Theft,10H30,"Other, Unknown, or Not Listed",800-899,SAINT EMANUEL,ST,-,1
6/15/16,10,Robbery,10H30,"Road, Street, or Sidewalk",2000-2099,RUSK,ST,-,1
6/15/16,12,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,CAPITOL,ST,-,1
6/14/16,9,Theft,10H30,Residence or House,2700-2799,BELL,ST,-,1
6/14/16,10,Burglary,10H30,Garage or Carport,800-899,PAIGE,-,-,1
6/15/16,21,Theft,10H30,Other Parking Lot,1000-1099,DOWLING,ST,-,1
6/15/16,21,Theft,10H30,"Road, Street, or Sidewalk",900-999,LIVE OAK,-,-,1
6/16/16,14,Theft,10H30,Bar or Night Club Parking Lot,2300-2399,PRESTON,ST,-,1
6/19/16,13,Theft,10H30,Commercial Parking Lot or Garage,800-899,SAINT EMANUEL,ST,-,1
6/19/16,8,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,MCKINNEY,ST,-,1
6/18/16,13,Auto Theft,10H30,"Road, Street, or Sidewalk",2600-2699,RUSK,ST,-,1
6/18/16,15,Auto Theft,10H30,"Road, Street, or Sidewalk",800-899,SAINT EMANUEL,ST,-,1
6/18/16,16,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,LAMAR,-,-,1
6/18/16,16,Theft,10H30,Other Parking Lot,2100-2199,LAMAR,-,-,1
6/18/16,22,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
6/18/16,23,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,RUSK,ST,-,1
6/17/16,21,Burglary,10H30,Residence or House,1700-1799,HUTCHINS,-,-,1
6/18/16,5,Aggravated Assault,10H30,Highway or Freeway,3500-3599,POLK,-,-,1
6/18/16,8,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL,ST,-,1
6/29/16,22,Robbery,10H40,Light Rail (Metro Rail) Vehicle,3800-3899,MAIN,ST,-,1
6/29/16,23,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,WINBERN,-,-,1
6/29/16,23,Theft,10H40,"Road, Street, or Sidewalk",1800-1899,WINBERN,-,-,1
6/29/16,8,Theft,10H40,"Parks and Recreation, Zoo, Swimming Pool",4400-4499,MAIN,ST,-,1
6/29/16,5,Burglary,10H40,Restaurant or Cafeteria,1100-1199,HOLMAN,-,-,1
6/28/16,3,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,FANNIN,ST,-,1
6/28/16,6,Theft,10H40,Commercial Parking Lot or Garage,2900-2999,LA BRANCH,-,-,1
6/28/16,8,Theft,10H40,Apartment Parking Lot,2400-2499,MILAM,-,-,1
6/28/16,9,Theft,10H40,Driveway,2900-2999,JACKSON,ST,-,1
6/28/16,21,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,TRAVIS,-,-,1
6/28/16,20,Theft,10H40,"Road, Street, or Sidewalk",700-799,STUART,-,-,1
6/28/16,20,Auto Theft,10H40,Other Parking Lot,2800-2899,FANNIN,ST,-,1
6/24/16,15,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",700-799,ELGIN,ST,-,1
6/25/16,22,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,MILAM,-,-,1
6/25/16,15,Theft,10H40,"Road, Street, or Sidewalk",1200-1299,WHEELER,-,-,1
6/27/16,16,Theft,10H40,Commercial Parking Lot or Garage,4300-4399,MAIN,ST,-,1
6/27/16,18,Auto Theft,10H40,Apartment Parking Lot,2300-2399,MAIN,ST,-,1
6/27/16,23,Theft,10H40,"Road, Street, or Sidewalk",800-899,STUART,-,-,1
6/27/16,8,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,MILAM,-,-,1
6/27/16,10,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,4400-4499,MAIN,ST,-,1
6/26/16,11,Theft,10H40,Driveway,1600-1699,DREW,ST,-,1
6/26/16,11,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
6/26/16,12,Auto Theft,10H40,Other Parking Lot,1100-1199,WINBERN,-,-,1
6/26/16,18,Robbery,10H40,"Road, Street, or Sidewalk",2900-2999,TRAVIS,-,-,1
6/22/16,14,Auto Theft,10H40,"Road, Street, or Sidewalk",800-899,FRANCIS,ST,-,1
6/22/16,15,Auto Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2500-2599,MAIN,ST,-,1
6/22/16,8,Auto Theft,10H40,"Road, Street, or Sidewalk",1300-1399,ANITA,ST,-,1
6/22/16,23,Robbery,10H40,"Road, Street, or Sidewalk",900-999,WINBERN,-,-,1
6/23/16,0,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1700-1799,HOLMAN,-,-,2
6/22/16,16,Theft,10H40,Light Rail Platform,UNK,MAIN,ST,-,1
6/22/16,19,Theft,10H40,"Other, Unknown, or Not Listed",2900-2999,CRAWFORD,ST,-,1
6/23/16,14,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,TRAVIS,-,-,1
6/23/16,10,Theft,10H40,Residence or House,1500-1599,ANITA,ST,-,1
6/23/16,8,Theft,10H40,Bar or Night Club Parking Lot,2900-2999,TRAVIS,-,-,1
6/20/16,16,Theft,10H40,Bar or Night Club Parking Lot,1000-1099,MCGOWEN,ST,-,1
6/21/16,11,Auto Theft,10H40,Garage or Carport,4000-4099,FANNIN,ST,-,1
6/7/16,16,Aggravated Assault,10H40,Convenience Store,2100-2199,FANNIN,ST,-,1
6/7/16,11,Aggravated Assault,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
6/8/16,23,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,WINBERN,-,-,1
6/8/16,16,Robbery,10H40,"Road, Street, or Sidewalk",4000-4099,FANNIN,ST,-,1
6/9/16,10,Theft,10H40,Restaurant or Cafeteria Parking Lot,2400-2499,FANNIN,ST,-,1
6/9/16,12,Auto Theft,10H40,Commercial Parking Lot or Garage,4200-4299,MAIN,ST,-,1
6/9/16,12,Theft,10H40,Commercial Building,2500-2599,SAN JACINTO,-,-,1
6/9/16,12,Theft,10H40,"Field, Woods, Forest, Park",4400-4499,MAIN,ST,-,1
6/9/16,13,Auto Theft,10H40,"Road, Street, or Sidewalk",3000-3099,TRAVIS,-,-,1
6/9/16,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
6/9/16,21,Theft,10H40,Restaurant or Cafeteria,2800-2899,CAROLINE,ST,-,1
6/9/16,22,Theft,10H40,Convenience Store,1000-1099,ALABAMA,ST,-,1
6/5/16,13,Theft,10H40,Light Rail (Metro Rail) Vehicle,3500-3599,MAIN,ST,-,1
6/5/16,17,Theft,10H40,Clothing Store,4200-4299,MAIN,ST,-,1
6/6/16,0,Theft,10H40,"Road, Street, or Sidewalk",3800-3899,TRAVIS,-,-,1
6/6/16,11,Theft,10H40,Garage or Carport,2400-2499,MILAM,-,-,1
6/6/16,14,Theft,10H40,Commercial Building,3900-3999,MAIN,ST,-,1
6/7/16,3,Robbery,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-,1
6/7/16,0,Theft,10H40,"Road, Street, or Sidewalk",800-899,WINBERN,-,-,1
6/3/16,23,Aggravated Assault,10H40,Apartment Parking Lot,4500-4599,TRAVIS,-,-,1
6/4/16,12,Robbery,10H40,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO,-,-,1
6/5/16,4,Aggravated Assault,10H40,Bar or Night Club,2300-2399,MAIN,ST,-,1
6/1/16,8,Theft,10H40,Driveway,1700-1799,TUAM,-,-,1
6/2/16,0,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1
6/2/16,20,Theft,10H40,Apartment,3800-3899,MAIN,ST,-,1
6/2/16,22,Theft,10H40,"Road, Street, or Sidewalk",800-899,WINBERN,-,-,1
6/3/16,1,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,MAIN,ST,-,1
6/3/16,2,Theft,10H40,"Road, Street, or Sidewalk",2600-2699,TRAVIS,-,-,1
6/17/16,14,Aggravated Assault,10H40,Convenience Store,400-499,RICHMOND,AVE,-,1
6/19/16,0,Theft,10H40,Railroad Track or Right Of Way,3500-3599,MAIN,ST,-,1
6/18/16,17,Aggravated Assault,10H40,Convenience Store Parking Lot,3200-3299,MAIN,ST,-,1
6/18/16,19,Aggravated Assault,10H40,Other Parking Lot,4200-4299,MAIN,ST,-,2
6/19/16,8,Theft,10H40,Driveway,1400-1499,DENNIS,ST,-,1
6/19/16,10,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,JACKSON,ST,-,1
6/19/16,7,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,BREMOND,ST,-,1
6/20/16,9,Theft,10H40,Residence or House,1700-1799,MCILHENNY,ST,-,1
6/20/16,11,Theft,10H40,Miscellaneous Business (Non-Specific),1800-1899,MCGOWEN,ST,-,1
6/19/16,16,Theft,10H40,"Road, Street, or Sidewalk",2000-2099,FANNIN,ST,-,1
6/20/16,1,Robbery,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
6/16/16,16,Theft,10H40,Light Rail Platform,3600-3699,MAIN,ST,-,1
6/15/16,22,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,HUTCHINS,-,-,1
6/15/16,23,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3000-3099,MAIN,ST,-,1
6/16/16,0,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,WHEELER,-,-,1
6/16/16,1,Burglary,10H40,Garage or Carport,2900-2999,JACKSON,ST,-,1
6/17/16,1,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,FANNIN,ST,-,1
6/16/16,18,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,CRAWFORD,ST,-,1
6/14/16,10,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
6/15/16,13,Auto Theft,10H40,"Road, Street, or Sidewalk",2200-2299,MAIN,ST,-,1
6/15/16,0,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
6/15/16,6,Theft,10H40,Apartment,4600-4699,MAIN,ST,-,1
6/12/16,1,Burglary,10H40,Apartment,4600-4699,MAIN,ST,-,1
6/12/16,14,Robbery,10H40,Strip Business Center Parking Lot,2200-2299,SAN JACINTO,-,-,1
6/13/16,14,Robbery,10H40,Bus Station,4500-4599,MAIN,ST,-,1
6/13/16,8,Burglary,10H40,Residence or House,1700-1799,STUART,-,-,1
6/10/16,15,Aggravated Assault,10H40,Service or Gas Station,2300-2399,MAIN,ST,-,1
6/10/16,4,Theft,10H40,Bar or Night Club Parking Lot,2300-2399,MAIN,ST,-,1
6/9/16,23,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,TUAM,-,-,1
6/10/16,1,Theft,10H40,Commercial Parking Lot or Garage,700-799,HADLEY,ST,-,1
6/11/16,4,Aggravated Assault,10H40,Other Parking Lot,4400-4499,SAN JACINTO,-,-,1
6/11/16,8,Robbery,10H40,Bus Station,400-499,RICHMOND,AVE,-,1
6/11/16,15,Aggravated Assault,10H40,Apartment,4500-4599,TRAVIS,-,-,1
6/11/16,10,Theft,10H40,Residence or House,1500-1599,DREW,ST,-,1
6/11/16,11,Theft,10H40,Bus Stop,2600-2699,AUSTIN,ST,-,1
6/21/16,10,Theft,10H50,"Road, Street, or Sidewalk",3700-3799,TIERWESTER,-,-,1
6/20/16,16,Burglary,10H50,Residence or House,3400-3499,ROSALIE,-,-,1
6/20/16,18,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3300-3399,ALABAMA,ST,-,1
6/20/16,19,Theft,10H50,Residence or House,2300-2399,DOWLING,ST,-,1
6/22/16,2,Robbery,10H50,"Road, Street, or Sidewalk",2400-2499,SAMPSON,-,-,1
6/23/16,10,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",3700-3799,NAGLE,-,-,1
6/23/16,14,Burglary,10H50,Bar or Night Club,3800-3899,ENNIS,ST,-,1
6/23/16,12,Theft,10H50,"Other, Unknown, or Not Listed",2300-2399,HUTCHINS,-,-,1
6/23/16,15,Theft,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3200-3299,HOLMAN,-,-,1
6/22/16,10,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,CLEBURNE,ST,-,1
6/22/16,16,Aggravated Assault,10H50,Convenience Store,3000-3099,ELGIN,ST,-,1
6/26/16,14,Burglary,10H50,Bar or Night Club,2300-2399,PIERCE,-,-,1
6/26/16,19,Theft,10H50,Restaurant or Cafeteria Parking Lot,2300-2399,ALABAMA,ST,-,1
6/27/16,2,Aggravated Assault,10H50,Residence or House,2700-2799,SAINT EMANUEL,ST,-,1
6/27/16,8,Aggravated Assault,10H50,Apartment Parking Lot,3700-3799,BURKETT,ST,-,1
6/27/16,19,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,ENNIS,ST,-,2
6/27/16,19,Auto Theft,10H50,"Church, Synagogue, or Temple",2200-2299,TUAM,-,-,1
6/25/16,16,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3500-3599,NAGLE,-,-,1
6/25/16,18,Theft,10H50,"Road, Street, or Sidewalk",2400-2499,ALABAMA,ST,-,1
6/24/16,19,Robbery,10H50,"Hotel, Motel, Inn, Etc.",2600-2699,NAPOLEON,-,-,1
6/24/16,14,Theft,10H50,Restaurant or Cafeteria Parking Lot,2200-2299,SCOTT,ST,-,1
6/28/16,17,Burglary,10H50,Residence or House,3600-3699,BASTROP,ST,-,1
6/28/16,8,Aggravated Assault,10H50,Apartment,3300-3399,ALABAMA,ST,-,1
6/29/16,2,Robbery,10H50,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-,-,1
6/29/16,14,Theft,10H50,Residence or House,3400-3499,REEVES,-,-,1
6/30/16,6,Theft,10H50,Residence or House,3000-3099,WEBSTER,-,-,1
6/30/16,17,Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,SCOTT,ST,-,1
6/3/16,11,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2800-2899,MILBY,-,-,1
6/2/16,18,Aggravated Assault,10H50,Residence or House,2400-2499,SAMPSON,-,-,2
6/2/16,9,Theft,10H50,Apartment,3700-3799,TIERWESTER,-,-,1
6/2/16,7,Theft,10H50,Office Building,2100-2199,ALABAMA,ST,-,1
6/2/16,13,Robbery,10H50,"Road, Street, or Sidewalk",2700-2799,CANFIELD,ST,-,1
6/1/16,8,Auto Theft,10H50,"Road, Street, or Sidewalk",2000-2099,DOWLING,ST,-,1
6/1/16,11,Theft,10H50,Apartment Parking Lot,3200-3299,TRUXILLO,-,-,1
6/1/16,13,Theft,10H50,Apartment Parking Lot,3700-3799,TIERWESTER,-,-,1
6/1/16,6,Auto Theft,10H50,Apartment Parking Lot,UNK,Y,-,-,1
6/5/16,11,Auto Theft,10H50,"Road, Street, or Sidewalk",2300-2399,HADLEY,ST,-,1
6/3/16,21,Theft,10H50,Bus Station,4800-4899,CALHOUN,RD,-,1
6/4/16,10,Theft,10H50,Garage or Carport,3800-3899,HOLMAN,-,-,1
6/3/16,19,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,TUAM,-,-,1
6/6/16,11,Auto Theft,10H50,Apartment Parking Lot,3700-3799,TIERWESTER,-,-,1
6/5/16,23,Aggravated Assault,10H50,Apartment,3000-3099,TRUXILLO,-,-,1
6/5/16,23,Robbery,10H50,"Road, Street, or Sidewalk",3500-3599,ANITA,ST,-,1
6/5/16,21,Robbery,10H50,Apartment,2300-2399,TUAM,-,-,1
6/5/16,17,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,MILBY,-,-,1
6/9/16,20,Robbery,10H50,"Road, Street, or Sidewalk",2200-2299,SCOTT,ST,-,1
6/9/16,15,Theft,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3500-3599,MCILHENNY,ST,-,1
6/9/16,0,Theft,10H50,"Road, Street, or Sidewalk",3800-3899,ROSALIE,-,-,1
6/8/16,0,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2600-2699,ALABAMA,ST,-,1
6/11/16,15,Theft,10H50,"Road, Street, or Sidewalk",3700-3799,ELGIN,ST,-,1
6/11/16,3,Auto Theft,10H50,"Road, Street, or Sidewalk",2000-2099,HUTCHINS,-,-,1
6/10/16,21,Theft,10H50,Convenience Store,3000-3099,SCOTT,ST,-,1
6/10/16,15,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2800-2899,TIERWESTER,-,-,2
6/10/16,16,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3200-3299,REEVES,-,-,1
6/10/16,18,Theft,10H50,"Road, Street, or Sidewalk",2100-2199,CULLEN,BLVD,-,1
6/10/16,19,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2600-2699,WINBERN,-,-,1
6/10/16,19,Robbery,10H50,"Road, Street, or Sidewalk",3300-3399,ALLEGHENY,-,-,1
6/13/16,3,Auto Theft,10H50,Apartment Parking Lot,3500-3599,SIMMONS,-,-,1
6/12/16,20,Aggravated Assault,10H50,Residence or House,3300-3399,NETTLETON,-,-,1
6/13/16,17,Theft,10H50,Apartment Parking Lot,2500-2599,ROSALIE,-,-,1
6/13/16,13,Auto Theft,10H50,"Road, Street, or Sidewalk",8100-8199,SW,FWY,-,1
6/12/16,8,Auto Theft,10H50,Apartment Parking Lot,3700-3799,BURKETT,ST,-,1
6/14/16,1,Theft,10H50,"Road, Street, or Sidewalk",2200-2299,ALABAMA,ST,-,1
6/14/16,2,Theft,10H50,"Road, Street, or Sidewalk",3300-3399,DOWLING,ST,-,1
6/14/16,6,Auto Theft,10H50,"Road, Street, or Sidewalk",2800-2899,CHARTRES,-,-,1
6/16/16,11,Theft,10H50,Driveway,2300-2399,HADLEY,ST,-,1
6/16/16,12,Theft,10H50,Commercial Parking Lot or Garage,2300-2399,PIERCE,-,-,1
6/20/16,1,Burglary,10H50,Residence or House,2200-2299,NAGLE,-,-,1
6/19/16,23,Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,BURKETT,ST,-,1
6/20/16,7,Theft,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3400-3499,DREW,ST,-,1
6/20/16,13,Theft,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SCOTT,ST,-,1
6/19/16,8,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3600-3699,SCOTT,ST,-,2
6/18/16,15,Robbery,10H50,"Road, Street, or Sidewalk",3600-3699,NAGLE,-,-,1
