Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/3/16,19,Burglary,5F10,Apartment,1300-1399,AFTON,ST,-,1
1/3/16,19,Theft,5F10,Garage or Carport,7800-7899,KATY,FWY,-,1
1/3/16,23,Theft,5F20,Apartment Parking Lot,8700-8799,HAMMERLY,-,-,1
1/3/16,13,Auto Theft,5F20,Apartment Parking Lot,9200-9299,BARR,CIR,-,1
1/3/16,13,Theft,5F30,Restaurant or Cafeteria Parking Lot,13400-13499,NORTHWEST,FWY,-,1
1/3/16,15,Theft,5F30,Restaurant or Cafeteria Parking Lot,12800-12899,NORTHWEST,FWY,-,1
1/3/16,18,Theft,5F30,Specialty Store (Non-Specific),13400-13499,NORTHWEST,FWY,-,1
1/3/16,15,Robbery,5F30,Apartment Parking Lot,5800-5899,HOLLISTER,RD,-,1
1/3/16,16,Theft,5F40,"Theatres, Dinner Theaters, Auditoriums",18300-18399,TOMBALL,PKWY,-,1
1/3/16,16,Theft,5F40,Mall Common Area,7900-7999,FM 1960,-,W,1
1/3/16,15,Theft,5F40,Other Parking Lot,17700-17799,TOMBALL,PKWY,-,1
1/3/16,14,Theft,5F40,"Theatres, Dinner Theaters, Auditoriums",2000-2099,WILLOWBROOK MALL,-,-,1
1/3/16,12,Burglary,5F40,Apartment,7700-7799,WILLOW CHASE,BLVD,-,1
1/3/16,8,Theft,5F40,"Road, Street, or Sidewalk",12300-12399,GESSNER,RD,N,1
1/3/16,7,Aggravated Assault,5F40,"Hotel, Motel, Inn, Etc.",8700-8799,FM 1960,-,W,1
1/3/16,15,Burglary,6B10,Apartment,100-199,PARKER,RD,W,1
1/3/16,16,Auto Theft,6B10,Driveway,300-399,BRIARCLIFF,DR,-,1
1/3/16,14,Auto Theft,6B20,Apartment Parking Lot,7400-7499,SHEPHERD,DR,N,1
1/3/16,14,Aggravated Assault,6B20,Residence or House,1000-1099,DOLLY WRIGHT,ST,-,1
1/3/16,13,Theft,6B20,Residence or House,600-699,MILLVILLE,DR,-,1
1/3/16,9,Theft,6B20,Grocery Store or Supermarket Parking Lot,6800-6899,MONTGOMERY,RD,W,1
1/3/16,10,Theft,6B30,Driveway,7200-7299,STONEGATE,DR,-,1
1/3/16,11,Theft,6B30,Apartment Rental Office,5300-5399,GULF BANK,RD,W,1
1/3/16,16,Aggravated Assault,6B30,Apartment,7200-7299,T C JESTER,BLVD,-,1
1/3/16,15,Theft,6B30,Other Parking Lot,5600-5699,TIDWELL,RD,W,1
1/3/16,17,Theft,6B30,Grocery Store or Supermarket,6000-6099,VICTORY,DR,-,1
1/3/16,16,Theft,6B40,Apartment Parking Lot,9600-9699,MONTGOMERY,RD,W,1
1/3/16,22,Theft,6B40,"Amusement Park, Bowling Alley, Skate Rink",9400-9499,SUNNYWOOD,DR,-,1
1/3/16,15,Theft,6B40,Residence or House,700-799,RINGOLD,-,-,1
1/3/16,3,Theft,6B50,Restaurant or Cafeteria Parking Lot,11300-11399,NORTH,FWY,-,1
1/3/16,15,Theft,6B60,Apartment,1300-1399,GREENS,PKWY,-,1
1/3/16,13,Burglary,6B60,Apartment,13500-13599,NORTHBOROUGH,DR,-,1
1/3/16,0,Aggravated Assault,6B60,Apartment,13000-13099,NORTHBOROUGH,DR,-,1
1/3/16,18,Robbery,7C10,"Road, Street, or Sidewalk",5600-5699,MARKET,ST,-,1
1/3/16,17,Auto Theft,7C10,"Road, Street, or Sidewalk",1400-1499,CALLES,-,-,1
1/3/16,20,Robbery,7C20,Bank,3600-3699,EASTEX,FWY,-,1
1/3/16,5,Theft,7C20,Hotel or Motel Parking Lot,5500-5599,HOMESTEAD,RD,-,1
1/3/16,21,Burglary,7C30,Apartment,3400-3499,BERRY,RD,-,1
1/3/16,10,Theft,7C40,"Parks and Recreation, Zoo, Swimming Pool",12000-12099,ALDINE WESTFIELD,RD,-,1
1/3/16,10,Burglary,7C40,Specialty Store (Non-Specific),2600-2699,LITTLE YORK,RD,-,1
1/3/16,21,Theft,7C50,Department or Discount Store,6200-6299,GREENS,RD,-,1
1/3/16,17,Theft,7C50,Airport Terminal,15800-15899,JOHN F KENNEDY,BLVD,-,1
1/3/16,18,Theft,7C50,Apartment,15100-15199,VICKERY,DR,-,1
1/3/16,0,Burglary,8C40,Residence or House,9000-9099,LAURA KOPPE,RD,-,1
1/3/16,9,Theft,8C50,"Church, Synagogue, or Temple",10100-10199,MESA,DR,-,1
1/3/16,11,Auto Theft,8C60,Driveway,10400-10499,HOLLYGLEN,DR,-,1
1/3/16,18,Theft,8C60,Residence or House,6400-6499,MOHAWK,-,-,1
1/3/16,18,Auto Theft,9C30,Restaurant or Cafeteria Parking Lot,10300-10399,EAST,FWY,-,1
1/3/16,10,Auto Theft,9C30,Apartment Parking Lot,6500-6599,PINE TREE SPRING,-,-,1
1/3/16,19,Robbery,9C40,Miscellaneous Business (Non-Specific),12800-12899,EAST,FWY,-,1
1/4/16,15,Burglary,10H10,Residence or House,3900-3999,LOVEJOY,ST,-,1
1/4/16,20,Theft,10H30,Restaurant or Cafeteria Parking Lot,2100-2199,MCKINNEY,ST,-,1
1/4/16,23,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
1/4/16,23,Theft,10H30,"Road, Street, or Sidewalk",900-999,SAINT EMANUEL,ST,-,1
1/4/16,10,Theft,10H40,"Other, Unknown, or Not Listed",1100-1199,MCILHENNY,ST,-,1
1/4/16,10,Theft,10H40,,3200-3299,CRAWFORD,ST,-,1
1/4/16,2,Burglary,10H50,Convenience Store,3000-3099,SAUER,-,-,1
1/4/16,8,Burglary,10H50,"Physician, Doctor, Dentist's Office",3600-3699,DOWLING,ST,-,1
1/4/16,12,Theft,10H60,Apartment,5500-5599,SAMPSON,-,-,1
1/4/16,14,Robbery,10H60,,5000-5099,ENNIS,ST,-,1
1/4/16,0,Robbery,10H60,Convenience Store Parking Lot,3200-3299,MACGREGOR,WAY,N,1
1/4/16,2,Burglary,10H70,Drug Store or Medical Supply,1200-1299,HERMANN,DR,-,1
1/4/16,14,Burglary,10H70,"Multi-Plex Home (Duplex,Triplex Etc.)",4700-4799,CHENEVERT,-,-,1
1/4/16,12,Rape,10H70,Apartment,7300-7399,ARDMORE,ST,-,1
1/4/16,11,Theft,10H70,Residence or House,2400-2499,HOLCOMBE,BLVD,-,1
1/4/16,18,Theft,10H70,Hospital,6500-6599,FANNIN,ST,-,1
1/4/16,22,Aggravated Assault,11H10,Residence or House,5700-5799,DORBRANDT,ST,-,1
1/4/16,19,Robbery,11H10,Residence or House,7300-7399,WALKER,-,-,1
1/4/16,19,Auto Theft,11H10,Grocery Store or Supermarket Parking Lot,2300-2399,WAYSIDE,-,S,1
1/4/16,7,Robbery,11H10,Restaurant or Cafeteria,1500-1599,WAYSIDE,-,-,1
1/4/16,6,Theft,11H10,Apartment Parking Lot,6500-6599,MIRAGLEN,-,-,1
1/4/16,12,Theft,11H10,Department or Discount Store,2300-2399,WAYSIDE,-,S,1
1/4/16,20,Robbery,11H20,Convenience Store,1400-1499,EVERGREEN,DR,-,1
1/4/16,6,Theft,11H30,Apartment Parking Lot,8400-8499,PARK PLACE,BLVD,-,1
1/4/16,7,Auto Theft,11H30,Other Parking Lot,3000-3099,BROADWAY,ST,-,1
1/4/16,7,Theft,11H30,Apartment Parking Lot,4000-4099,GALVESTON,RD,-,1
1/4/16,7,Theft,11H30,Apartment Parking Lot,8000-8099,CONCORD ST.,-,-,1
1/4/16,6,Auto Theft,11H50,"Road, Street, or Sidewalk",9300-9399,CARSONDALE,-,-,1
1/4/16,19,Burglary,11H50,Apartment,4700-4799,ALLENDALE,RD,-,1
1/4/16,20,Auto Theft,11H50,Strip Business Center Parking Lot,9100-9199,WINKLER,DR,-,1
1/4/16,21,Theft,12D10,Department or Discount Store,9500-9599,ROWLETT,-,-,1
1/4/16,10,Theft,12D10,Miscellaneous Business (Non-Specific),9500-9599,ROWLETT,-,-,1
1/4/16,13,Auto Theft,12D10,Other Parking Lot,400-499,EDGEBROOK,DR,-,1
1/4/16,14,Theft,12D10,Apartment,9500-9599,MINNESOTA,ST,-,1
1/4/16,5,Theft,12D10,Apartment Parking Lot,10100-10199,WINDMILL LAKES,BLVD,-,1
1/4/16,3,Burglary,12D20,Convenience Store,11000-11099,SAM HOUSTON,PKWY,S,1
1/4/16,19,Theft,12D20,Grocery Store or Supermarket,9800-9899,BLACKHAWK,BLVD,-,1
1/4/16,16,Theft,12D20,Grocery Store or Supermarket,9800-9899,BLACKHAWK,BLVD,-,1
1/4/16,13,Auto Theft,12D30,Apartment Parking Lot,4400-4499,SHAVER,ST,S,1
1/4/16,1,Robbery,12D30,"Road, Street, or Sidewalk",11800-11899,MULE SPRINGS,DR,-,1
1/4/16,0,Theft,12D70,Apartment,15500-15599,ZABOLIO,LN,-,1
1/4/16,14,Theft,12D70,Grocery Store or Supermarket,100-199,EL DORADO,BLVD,W,1
1/4/16,15,Theft,12D70,,1800-1899,BAY AREA,BLVD,W,1
1/4/16,16,Theft,13D20,Driveway,8300-8399,GLENHEATH,ST,-,1
1/4/16,16,Aggravated Assault,13D20,Apartment Parking Lot,8500-8599,BROADWAY,ST,-,1
1/4/16,19,Burglary,13D20,Apartment,7900-7999,MORLEY,-,-,1
1/4/16,20,Theft,13D20,Apartment,8400-8499,BROADWAY,ST,-,1
1/4/16,23,Theft,13D20,Apartment Parking Lot,8500-8599,BROADWAY,ST,-,1
1/4/16,14,Burglary,13D20,Residence or House,7400-7499,SANTA FE,DR,S,1
1/4/16,10,Burglary,13D20,Apartment,8500-8599,BROADWAY,ST,-,1
1/4/16,9,Theft,13D20,Driveway,6000-6099,SUNRIDGE,WAY,-,1
1/4/16,19,Theft,13D40,Alley,8400-8499,ARROWHEAD,LN,-,1
1/4/16,4,Rape,14D10,Apartment,6000-6099,SCHROEDER,RD,-,1
1/4/16,20,Burglary,14D10,Residence or House,3700-3799,ALBERTA,ST,-,1
1/4/16,16,Aggravated Assault,14D10,Residence or House,6700-6799,FOSTER,ST,-,1
1/4/16,11,Theft,14D10,Commercial Building,6100-6199,CULLEN,BLVD,-,1
1/4/16,11,Theft,14D20,Apartment Parking Lot,2800-2899,REED,RD,-,1
1/4/16,9,Theft,14D20,Apartment Parking Lot,8000-8099,BOWEN,ST,-,1
1/4/16,12,Aggravated Assault,14D20,Police Station,8000-8099,BRANDON,ST,-,1
1/4/16,13,Robbery,14D20,"Parks and Recreation, Zoo, Swimming Pool",7400-7499,TIERWESTER,-,-,1
1/4/16,15,Theft,14D20,Apartment,10000-10099,CULLEN,BLVD,-,1
1/4/16,18,Robbery,14D20,Service or Gas Station,5000-5099,BELLFORT,ST,-,1
1/4/16,16,Burglary,14D20,Residence or House,4400-4499,ALVIN,ST,-,1
1/4/16,5,Theft,14D20,Apartment Parking Lot,2900-2999,REED,RD,-,1
1/4/16,2,Auto Theft,14D30,"Road, Street, or Sidewalk",5800-5899,SOUTHMUND,-,-,1
1/4/16,18,Aggravated Assault,14D30,"Road, Street, or Sidewalk",6100-6199,BELLFORT,ST,-,1
1/4/16,13,Theft,14D30,Residence or House,5400-5499,RAPIDO,RD,-,1
1/4/16,9,Rape,14D30,"Other, Unknown, or Not Listed",15700-15799,BELLAIRE,-,-,1
1/4/16,13,Robbery,14D40,Residence or House,4300-4399,BUNGALOW,-,-,1
1/4/16,10,Theft,14D40,Residence or House,5600-5699,ELM TREE,DR,-,1
1/4/16,6,Auto Theft,14D40,Driveway,4200-4299,FRIAR POINT,RD,-,1
1/4/16,6,Burglary,14D40,Commercial Building,12700-12799,SOUTH,FWY,-,1
1/4/16,19,Theft,1.50E+11,"Road, Street, or Sidewalk",5100-5199,RUTHERGLENN,DR,-,1
1/4/16,14,Theft,1.50E+21,Convenience Store Parking Lot,5400-5499,AIRPORT,BLVD,W,1
1/4/16,6,Burglary,1.50E+31,Grocery Store or Supermarket,4100-4199,BELLFORT,ST,W,1
1/4/16,14,Theft,1.50E+31,Convenience Store Parking Lot,8400-8499,STELLA LINK,-,-,1
1/4/16,14,Theft,1.50E+31,Apartment Parking Lot,9500-9599,MEYER FOREST,DR,-,1
1/4/16,12,Aggravated Assault,1.50E+31,Restaurant or Cafeteria Parking Lot,3200-3299,LOOP,-,S,1
1/4/16,13,Burglary,1.50E+31,Residence or House,3700-3799,GRENNOCH,LN,-,1
1/4/16,18,Burglary,1.50E+31,Residence or House,4400-4499,FIRESTONE,DR,-,1
1/4/16,15,Theft,1.50E+31,Grocery Store or Supermarket,7400-7499,KIRBY,DR,-,1
1/4/16,15,Theft,1.50E+41,Grocery Store or Supermarket,8100-8199,KIRBY,DR,-,1
1/4/16,16,Theft,1.50E+41,Bus Station,2600-2699,BRAESWOOD,BLVD,S,1
1/4/16,16,Theft,1.50E+41,Department or Discount Store,9700-9799,BUFFALO SPEEDWAY,-,-,1
1/4/16,17,Auto Theft,1.50E+41,Miscellaneous Business (Non-Specific),100-199,HOLMES,RD,-,2
1/4/16,20,Theft,1.50E+41,Apartment,2600-2699,WESTRIDGE,ST,-,1
1/4/16,23,Theft,1.50E+41,Apartment,8400-8499,HEARTH,DR,-,1
1/4/16,22,Aggravated Assault,1.50E+41,"Road, Street, or Sidewalk",8600-8699,KIRBY,DR,-,1
1/4/16,10,Theft,1.50E+41,Apartment Parking Lot,8200-8299,CAMBRIDGE,ST,-,1
1/4/16,9,Theft,1.50E+41,Bar or Night Club,9800-9899,BUFFALO SPEEDWAY,-,-,1
1/4/16,11,Theft,1.50E+41,Apartment Parking Lot,2100-2199,EL PASEO,ST,-,1
1/4/16,5,Burglary,1.50E+41,Warehouse,100-199,HOLMES,RD,-,1
1/4/16,8,Theft,1.50E+41,Apartment Parking Lot,2600-2699,HOLLY HALL,-,-,1
1/4/16,6,Auto Theft,1.50E+41,Bar or Night Club Parking Lot,2800-2899,HOLMES,RD,-,1
1/4/16,1,Burglary,1.60E+11,Apartment,2200-2299,OREM,DR,W,1
1/4/16,0,Aggravated Assault,1.60E+11,Residence or House,11900-11999,PRIOR PARK,DR,-,1
1/4/16,13,Theft,1.60E+21,Driveway,14400-14499,DRAYCOTT,LN,-,1
1/4/16,14,Auto Theft,1.60E+31,Other Parking Lot,13700-13799,PLAYER,-,-,1
1/4/16,11,Theft,1.60E+31,Auto Repair,14600-14699,POST OAK,RD,S,1
1/4/16,9,Theft,1.60E+31,Residence or House,5700-5799,DRAKESTONE,BLVD,-,1
1/4/16,16,Theft,1.60E+31,Residence or House,13100-13199,PINE THICKET,LN,-,1
1/4/16,18,Auto Theft,1.60E+41,Driveway,16100-16199,BECK RIDGE,DR,-,1
1/4/16,18,Robbery,1.60E+41,Driveway,2100-2199,DIAMOND CREST,DR,-,1
1/4/16,12,Theft,1.60E+41,Driveway,5700-5799,GINERIDGE,DR,-,1
1/4/16,12,Theft,1.70E+11,"Electronics Store, Electrical Supplies",6800-6899,SOUTHWEST,FWY,-,1
1/4/16,11,Auto Theft,1.70E+11,Apartment Parking Lot,6600-6699,DUNLAP,ST,-,1
1/4/16,13,Theft,1.70E+11,"Electronics Store, Electrical Supplies",5300-5399,RICE,AVE,S,1
1/4/16,13,Theft,1.70E+11,Apartment,6500-6599,HILLCROFT,-,-,1
1/4/16,7,Aggravated Assault,1.70E+11,"Road, Street, or Sidewalk",6100-6199,EDGEMOOR,DR,-,1
1/4/16,18,Robbery,1.70E+11,Apartment,6600-6699,DUNLAP,ST,-,1
1/4/16,16,Burglary,1.70E+11,Rental Storage Facility,6200-6299,WESTWARD,-,-,1
1/4/16,15,Theft,1.70E+11,Apartment Parking Lot,6000-6099,GULFTON,-,-,1
1/4/16,20,Burglary,1.70E+11,Apartment,7100-7199,HILLCROFT,-,-,1
1/4/16,20,Robbery,1.70E+21,"Road, Street, or Sidewalk",8500-8599,BISSONNET,ST,-,1
1/4/16,9,Auto Theft,1.70E+21,Apartment Parking Lot,7500-7599,BEECHNUT,ST,-,1
1/4/16,9,Theft,1.70E+21,"Hotel, Motel, Inn, Etc.",8200-8299,SOUTHWEST,FWY,-,1
1/4/16,9,Theft,1.70E+31,Apartment Parking Lot,8800-8899,BRAESWOOD,BLVD,S,1
1/4/16,14,Theft,1.70E+31,Apartment,8700-8799,BRAESWOOD,BLVD,S,1
1/4/16,22,Rape,1.70E+31,"Road, Street, or Sidewalk",9600-9699,HONEYWELL,RD,-,1
1/4/16,20,Theft,1.70E+31,"Laundry, Dry Cleaners, Washaterias",8600-8699,BRAESWOOD,BLVD,S,1
1/4/16,18,Theft,1.70E+31,"Electronics Store, Electrical Supplies",11500-11599,SOUTHWEST,FWY,-,1
1/4/16,3,Theft,1.70E+41,Bank or Savings Institution Parking Lot,6600-6699,BELLFORT,ST,W,1
1/4/16,15,Theft,1.70E+41,Apartment,8000-8099,CREEKBEND,DR,-,1
1/4/16,16,Aggravated Assault,1.70E+41,Apartment,6400-6499,BELLFORT,ST,W,1
1/4/16,19,Robbery,1.70E+41,Restaurant or Cafeteria,7600-7699,BELLFORT,ST,W,1
1/4/16,21,Theft,1.70E+41,Apartment Parking Lot,6300-6399,AIRPORT,BLVD,W,1
1/4/16,14,Auto Theft,1.70E+41,Apartment Parking Lot,12500-12599,SANDPIPER,DR,-,1
1/4/16,13,Theft,1.70E+41,"Road, Street, or Sidewalk",11200-11299,FONDREN,RD,-,1
1/4/16,9,Auto Theft,1.70E+41,"Road, Street, or Sidewalk",6300-6399,DAWNRIDGE,DR,-,1
1/4/16,8,Theft,1.70E+41,Apartment Parking Lot,12200-12299,FONDREN,RD,-,1
1/4/16,7,Theft,18F10,Commercial Parking Lot or Garage,700-799,POST OAK,RD,N,1
1/4/16,11,Theft,18F20,"Hotel, Motel, Inn, Etc.",2400-2499,LOOP,-,W,1
1/4/16,11,Theft,18F20,"Road, Street, or Sidewalk",5100-5199,TANGLE,LN,-,1
1/4/16,21,Theft,18F20,Mall Parking Lot,5100-5199,ALABAMA,ST,W,1
1/4/16,16,Theft,18F20,"Other, Unknown, or Not Listed",5000-5099,WESTHEIMER,RD,-,1
1/4/16,17,Theft,18F30,Miscellaneous Business (Non-Specific),6100-6199,WESTHEIMER,RD,-,1
1/4/16,21,Theft,18F30,Apartment Parking Lot,6100-6199,WINSOME,LN,-,1
1/4/16,20,Theft,18F30,Restaurant or Cafeteria,5800-5899,WESTHEIMER,RD,-,1
1/4/16,20,Theft,18F40,Apartment,6400-6499,DEL MONTE,DR,-,1
1/4/16,17,Theft,18F40,Apartment Parking Lot,2900-2999,CROSSVIEW,DR,-,1
1/4/16,18,Theft,18F40,Other Parking Lot,7500-7599,BURGOYNE,RD,-,1
1/4/16,11,Theft,18F40,"Theatres, Dinner Theaters, Auditoriums",2900-2999,DUNVALE,RD,-,1
1/4/16,9,Burglary,18F40,Apartment,2200-2299,GESSNER,DR,S,1
1/4/16,11,Theft,18F50,Apartment Parking Lot,3400-3499,OCEE,-,-,1
1/4/16,13,Theft,18F50,Restaurant or Cafeteria,7600-7699,DE MOSS,DR,-,1
1/4/16,13,Theft,18F50,Strip Business Center Parking Lot,7800-7899,WESTPARK,DR,-,1
1/4/16,12,Theft,18F50,Vehicle/Auto Sales/Lease/Auto Parts Store,3500-3599,TANGLEWILDE,-,-,1
1/4/16,21,Robbery,18F50,Mall Common Area,7500-7599,BELLAIRE,BLVD,-,1
1/4/16,1,Auto Theft,18F50,Mall Parking Lot,7500-7599,BELLAIRE,BLVD,-,1
1/4/16,19,Theft,18F60,Grocery Store or Supermarket Parking Lot,9200-9299,BELLAIRE,BLVD,-,1
1/4/16,15,Robbery,18F60,"Road, Street, or Sidewalk",9800-9899,HARWIN,DR,-,1
1/4/16,15,Theft,18F60,Apartment,8100-8199,BELLAIRE,BLVD,-,1
1/4/16,12,Aggravated Assault,18F60,"Road, Street, or Sidewalk",7700-7799,BELLAIRE,BLVD,-,1
1/4/16,12,Theft,19G10,Miscellaneous Business (Non-Specific),10800-10899,BEECHNUT,ST,-,1
1/4/16,12,Robbery,19G10,Strip Business Center Parking Lot,9800-9899,BELLAIRE,BLVD,-,1
1/4/16,14,Theft,19G10,Service or Gas Station,10000-10099,BEECHNUT,ST,-,1
1/4/16,14,Theft,19G10,"Parks and Recreation, Zoo, Swimming Pool",7400-7499,SAM HOUSTON,PKWY,W,1
1/4/16,16,Burglary,19G10,Apartment,10600-10699,BEECHNUT,ST,-,1
1/4/16,18,Theft,19G10,Apartment Parking Lot,7800-7899,CORPORATE,DR,-,1
1/4/16,19,Auto Theft,19G10,Apartment Parking Lot,7500-7599,CORPORATE,DR,-,1
1/4/16,23,Robbery,19G10,Convenience Store,10200-10299,CLUB CREEK,DR,-,1
1/4/16,15,Theft,19G20,Strip Business Center Parking Lot,10800-10899,BELLAIRE,BLVD,-,1
1/4/16,16,Theft,19G20,Grocery Store or Supermarket,11200-11299,BELLAIRE,BLVD,-,1
1/4/16,13,Theft,19G20,Strip Business Center Parking Lot,10800-10899,BELLAIRE,BLVD,-,1
1/4/16,15,Aggravated Assault,19G30,Residence or House,6100-6199,S. PINESAP,DR,-,1
1/4/16,18,Burglary,19G40,Apartment,9700-9799,COURT GLEN,DR,-,1
1/4/16,10,Burglary,19G40,Apartment,11700-11799,BISSONNET,ST,-,1
1/4/16,11,Theft,19G40,Credit Union,11400-11499,BISSONNET,ST,-,1
1/4/16,11,Theft,19G40,Apartment,11700-11799,BISSONNET,ST,-,1
1/4/16,18,Robbery,19G50,Specialty Store (Non-Specific),10500-10599,SAM HOUSTON,PKWY,W,1
1/4/16,23,Robbery,19G50,"Road, Street, or Sidewalk",9800-9899,BISSONNET,ST,-,1
1/4/16,0,Burglary,1A10,Restaurant or Cafeteria Parking Lot,1500-1599,PEASE,-,-,1
1/4/16,21,Theft,1A10,Other Parking Lot,900-999,PRESTON,ST,-,1
1/4/16,11,Theft,1A10,"Other, Unknown, or Not Listed",500-599,MCKINNEY,ST,-,1
1/4/16,10,Theft,1A10,Mall Common Area,1200-1299,MCKINNEY,ST,-,1
1/4/16,12,Theft,1A10,Commercial Parking Lot or Garage,1200-1299,WALKER,ST,-,1
1/4/16,13,Theft,1A10,Light Rail Platform,900-999,MAIN,ST,-,1
1/4/16,14,Theft,1A20,"Road, Street, or Sidewalk",200-299,EMERSON,ST,-,1
1/4/16,7,Theft,1A20,"Road, Street, or Sidewalk",300-399,BREMOND,ST,-,1
1/4/16,7,Theft,1A20,"Road, Street, or Sidewalk",800-899,CLAY,-,W,1
1/4/16,18,Theft,1A30,Restaurant or Cafeteria Parking Lot,2400-2499,RICHMOND,AVE,-,1
1/4/16,15,Theft,1A30,Other Parking Lot,3600-3699,SHEPHERD,DR,S,1
1/4/16,10,Theft,1A30,Bar or Night Club Parking Lot,1600-1699,WESTHEIMER,RD,-,1
1/4/16,9,Theft,1A30,"Road, Street, or Sidewalk",2900-2999,GREENBRIAR,DR,-,1
1/4/16,14,Theft,1A30,Residence or House,1700-1799,NORFOLK,-,-,1
1/4/16,22,Theft,1A40,Restaurant or Cafeteria Parking Lot,2700-2799,WESTHEIMER,RD,-,1
1/4/16,19,Theft,1A40,Jewelry Stores,3900-3999,WESTHEIMER,RD,-,1
1/4/16,0,Theft,1A50,Restaurant or Cafeteria Parking Lot,3200-3299,SOUTHWEST,FWY,-,1
1/4/16,19,Auto Theft,1A50,Commercial Parking Lot or Garage,3800-3899,CUMMINS,ST,-,1
1/4/16,16,Theft,1A50,Clothing Store,4400-4499,WESTHEIMER,RD,-,1
1/4/16,17,Burglary,1A50,Apartment,4400-4499,WESTHEIMER,RD,-,1
1/4/16,13,Theft,1A50,Specialty Store (Non-Specific),4000-4099,RICHMOND,AVE,-,1
1/4/16,13,Burglary,1A50,Office Building,3100-3199,WESLAYAN SUITE 372,-,-,1
1/4/16,12,Theft,20G10,"Hotel, Motel, Inn, Etc.",3000-3099,SAM HOUSTON,PKWY,W,1
1/4/16,11,Burglary,20G10,Residence or House,2900-2999,ELMSIDE,DR,-,1
1/4/16,6,Theft,20G10,Restaurant or Cafeteria Parking Lot,9700-9799,WESTHEIMER,RD,-,1
1/4/16,20,Theft,20G10,Restaurant or Cafeteria Parking Lot,10000-10099,WESTHEIMER,RD,-,1
1/4/16,21,Theft,20G10,Restaurant or Cafeteria Parking Lot,10000-10099,WESTHEIMER,RD,-,1
1/4/16,1,Theft,20G10,Apartment Parking Lot,9800-9899,MEADOWGLEN,LN,-,1
1/4/16,23,Theft,20G20,Apartment Parking Lot,10800-10899,BRIAR FOREST,DR,-,1
1/4/16,18,Theft,20G30,Department or Discount Store,11700-11799,WESTHEIMER,RD,-,1
1/4/16,15,Theft,20G30,Other Parking Lot,12500-12599,WESTHEIMER,RD,-,1
1/4/16,5,Theft,20G30,Apartment Parking Lot,11200-11299,WESTPARK,DR,-,1
1/4/16,15,Theft,20G40,Apartment Parking Lot,2300-2399,HAYES,-,-,1
1/4/16,18,Burglary,20G40,Apartment,2600-2699,WOODLAND PARK,DR,-,1
1/4/16,23,Burglary,20G40,Apartment,1900-1999,KIRKWOOD,RD,S,1
1/4/16,13,Burglary,20G40,Apartment,2600-2699,WOODLAND PARK,DR,-,1
1/4/16,13,Theft,20G40,Apartment Parking Lot,2300-2399,HAYES,-,-,1
1/4/16,8,Theft,20G50,"Other, Unknown, or Not Listed",14100-14199,CARDINAL,LN,-,1
1/4/16,15,Theft,20G50,Restaurant or Cafeteria Parking Lot,10400-10499,KATY,FWY,-,1
1/4/16,15,Theft,20G50,"Other, Unknown, or Not Listed",300-399,MEMORIAL CITY,WAY,-,1
1/4/16,14,Burglary,20G60,Apartment,800-899,COUNTRY PLACE,DR,-,1
1/4/16,7,Theft,20G70,Apartment Parking Lot,12700-12799,ASHFORD POINT,DR,-,1
1/4/16,9,Theft,20G70,Apartment Parking Lot,4000-4099,SYNOTT,-,-,1
1/4/16,10,Burglary,20G80,Apartment,14700-14799,OAKS PLAZA,DR,W,1
1/4/16,17,Theft,20G80,"Hotel, Motel, Inn, Etc.",2100-2199,SH 6,-,S,1
1/4/16,11,Theft,21I10,Airport Terminal,3000-3099,TERMINAL,RD,N,1
1/4/16,13,Theft,21I30,Commercial Parking Lot or Garage,3500-3599,NORTH TERMINAL,RD,-,1
1/4/16,12,Theft,21I50,Commercial Parking Lot or Garage,3500-3599,TERMINAL,RD,N,1
1/4/16,12,Theft,21I50,Other Parking Lot,3500-3599,TERMINAL,RD,N,1
1/4/16,21,Theft,21I50,Airport Terminal,3100-3199,TERMINAL,RD,N,1
1/4/16,13,Theft,23J50,Airport Terminal,7800-7899,AIRPORT,BLVD,-,1
1/4/16,9,Auto Theft,24C20,,1700-1799,LAKE KINGWOOD,TRL,-,3
1/4/16,15,Rape,24C30,Residence or House,4800-4899,MAGNOLIA,COVE,-,1
1/4/16,21,Theft,24C40,Commercial Building,11400-11499,FM 1960,-,E,1
1/4/16,16,Auto Theft,24C50,Apartment Parking Lot,23200-23299,FOREST NORTH,DR,-,1
1/4/16,13,Theft,24C50,Garage or Carport,3100-3199,WHITE BLOSSOM,LN,-,1
1/4/16,15,Burglary,24C60,Residence or House,15700-15799,STARCREEK,LN,-,1
1/4/16,16,Theft,24C60,Grocery Store or Supermarket Parking Lot,12600-12699,LAKE HOUSTON,PKWY,-,1
1/4/16,22,Burglary,2A10,Residence or House,600-699,BOUNDARY,-,-,1
1/4/16,7,Robbery,2A10,Convenience Store Parking Lot,2100-2199,MAIN,-,N,1
1/4/16,10,Theft,2A10,Bank or Savings Institution Parking Lot,2800-2899,FULTON,ST,-,1
1/4/16,5,Theft,2A30,"Road, Street, or Sidewalk",700-799,24TH,ST,E,1
1/4/16,7,Theft,2A30,"Road, Street, or Sidewalk",800-899,MERRILL,-,-,1
