Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/1/16,20,Theft,1.50E+11,Strip Business Center Parking Lot,8500-8599,LOOP,-,W,1
1/1/16,21,Theft,1.50E+21,Department or Discount Store,5100-5199,WILLOWBEND,-,-,1
1/1/16,18,Theft,1.50E+21,Service or Gas Station,10700-10799,POST OAK,RD,S,1
1/1/16,16,Theft,1.50E+21,Condominium,5200-5299,ARBOLES,DR,-,1
1/1/16,14,Theft,1.50E+31,"Road, Street, or Sidewalk",4000-4099,SILVERWOOD,DR,-,1
1/1/16,20,Theft,1.50E+31,Restaurant or Cafeteria Parking Lot,8700-8799,LOOP,-,W,1
1/1/16,12,Burglary,1.50E+31,Garage or Carport,3500-3599,DURHILL,-,-,1
1/1/16,12,Theft,1.50E+41,Apartment Parking Lot,8100-8199,FANNIN,ST,-,1
1/1/16,10,Auto Theft,1.50E+41,Other Parking Lot,7700-7799,MAIN,ST,-,1
1/1/16,9,Theft,1.50E+41,Specialty Store (Non-Specific),10600-10699,MAIN,ST,S,1
1/1/16,5,Burglary,1.50E+41,Drug Store or Medical Supply,7400-7499,FANNIN,ST,-,1
1/1/16,4,Theft,1.50E+41,Apartment,2100-2199,HOLLY HALL,-,-,1
1/1/16,8,Auto Theft,1.60E+11,Apartment Parking Lot,11800-11899,CITY PARK CENTRAL,LN,-,1
1/1/16,2,Aggravated Assault,1.60E+21,Residence or House,3900-3999,BERAN,DR,-,1
1/1/16,11,Aggravated Assault,1.60E+21,Residence or House,14400-14499,MORENO,AVE,-,1
1/1/16,20,Auto Theft,1.60E+21,Driveway,2600-2699,TIDEWATER,-,-,1
1/1/16,16,Theft,1.60E+21,"Road, Street, or Sidewalk",3400-3499,DRAGONWICK,DR,-,1
1/1/16,22,Theft,1.60E+31,Apartment Parking Lot,13900-13999,HILLCROFT,-,-,1
1/1/16,17,Aggravated Assault,1.60E+41,Residence or House,15500-15599,FALL BRIAR,DR,-,1
1/1/16,16,Burglary,1.60E+41,Residence or House,6600-6699,LAUGHLIN,DR,-,1
1/1/16,9,Theft,1.60E+41,Driveway,4600-4699,CALLERY CREEK,DR,-,1
