Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2/13/16,15,Aggravated Assault,10H10,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-,-,1
2/16/16,15,Theft,10H10,,200-299,SAMPSON,ST,N,1
2/19/16,11,Aggravated Assault,10H10,Apartment,200-299,GRACE,ST,-,2
2/19/16,14,Theft,10H10,Residence or House,UNK,10812ELL PD,-,-,1
2/20/16,19,Burglary,10H10,Residence or House,2100-2199,CANAL,ST,-,1
2/21/16,11,Auto Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2/22/16,10,Theft,10H10,Construction Site,2200-2299,NAVIGATION,-,-,1
2/1/16,11,Theft,10H10,Residence or House,400-499,LINWOOD,-,-,1
2/3/16,15,Burglary,10H10,Residence or House,100-199,HAGERMAN,ST,N,1
2/3/16,19,Robbery,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
2/3/16,19,Robbery,10H10,Driveway,3400-3499,ENGELKE,-,-,1
2/4/16,14,Burglary,10H10,Residence or House,100-199,MAPLEWOOD,CT,N,1
2/8/16,15,Theft,10H10,Commercial Parking Lot or Garage,6100-6199,INDUSTRIAL,WAY,-,1
2/9/16,14,Robbery,10H10,Convenience Store,5500-5599,SHERMAN,-,-,1
2/9/16,19,Theft,10H10,Residence or House,6900-6999,AVE I,-,-,1
2/10/16,16,Aggravated Assault,10H10,"Field, Woods, Forest, Park",5000-5099,HARRISBURG,-,-,1
2/10/16,22,Robbery,10H10,"Road, Street, or Sidewalk",700-799,DRENNAN,ST,N,1
2/23/16,13,Auto Theft,10H10,"Road, Street, or Sidewalk",UNK,NORWOOD,-,-,1
2/25/16,16,Theft,10H10,Residence or House,2100-2199,CANAL,ST,-,1
2/27/16,10,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2/27/16,13,Burglary,10H10,Warehouse,2300-2399,COMMERCE,ST,-,1
2/27/16,19,Aggravated Assault,10H10,Residence or House,100-199,MILBY,ST,N,1
2/28/16,7,Theft,10H10,"Road, Street, or Sidewalk",200-299,HUTCHESON,ST,N,1
2/28/16,7,Theft,10H10,Driveway,200-299,NORWOOD,-,-,1
2/28/16,8,Theft,10H10,Apartment Parking Lot,4200-4299,GARROW,-,-,1
