Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
7/21/16,16,Theft,10H10,Other Parking Lot,4500-4599,HARRISBURG,-,-,1
7/22/16,8,Theft,10H10,Other Parking Lot,5000-5099,HARRISBURG,-,-,1
7/22/16,22,Theft,10H10,Miscellaneous Business (Non-Specific),2300-2399,COMMERCE,ST,-,1
7/23/16,4,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
7/23/16,8,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,NAVIGATION,-,-,1
7/23/16,19,Aggravated Assault,10H10,Residence or House,100-199,MILBY,ST,N,1
7/24/16,9,Theft,10H10,Apartment Parking Lot,2800-2899,CANAL,ST,-,1
7/24/16,10,Theft,10H10,"Road, Street, or Sidewalk",300-399,ROBERTS,ST,-,1
7/24/16,21,Theft,10H10,"Field, Woods, Forest, Park",5800-5899,HARRISBURG,-,-,1
7/25/16,17,Theft,10H10,"Other, Unknown, or Not Listed",2300-2399,COMMERCE,ST,-,1
7/25/16,22,Theft,10H10,,2300-2399,COMMERCE,ST,-,1
7/30/16,9,Theft,10H10,Residence or House,2100-2199,RUNNELS,-,-,1
7/31/16,5,Aggravated Assault,10H10,,300-399,LOCKWOOD,DR,S,1
7/31/16,19,Aggravated Assault,10H10,Residence or House,100-199,SAMPSON,ST,N,1
7/1/16,8,Theft,10H10,Bank or Savings Institution Parking Lot,3100-3199,HARRISBURG,-,-,1
7/1/16,13,Auto Theft,10H10,Body Shop,5100-5199,CANAL,ST,-,1
7/2/16,13,Auto Theft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,2
7/3/16,9,Theft,10H10,Commercial Parking Lot or Garage,2500-2599,GARROW,-,-,1
7/4/16,5,Auto Theft,10H10,Driveway,3700-3799,BALL,ST,-,1
7/4/16,13,Theft,10H10,Car Wash,5400-5499,HARRISBURG,-,-,1
7/6/16,11,Burglary,10H10,Residence or House,200-299,YORK,-,N,1
7/7/16,16,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,NAVIGATION,-,-,1
7/8/16,14,Theft,10H10,Garage or Carport,2100-2199,RUNNELS,-,-,1
7/9/16,4,Burglary,10H10,Grocery Store or Supermarket,5400-5499,HARRISBURG,-,-,1
7/9/16,7,Burglary,10H10,"Vacant Storage Fac (Barn,Garage,Warehouse)",5900-5999,SHERMAN,-,-,1
7/9/16,16,Theft,10H10,Driveway,200-299,JENSEN,DR,-,1
7/9/16,16,Burglary,10H10,Residence or House,100-199,EVERTON,ST,-,1
7/11/16,2,Burglary,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,4700-4799,HARRISBURG,-,-,1
7/11/16,6,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
7/11/16,15,Theft,10H10,Garage or Carport,2100-2199,CANAL,ST,-,1
7/12/16,2,Theft,10H10,Apartment Parking Lot,2000-2099,RUNNELS,-,-,1
7/12/16,7,Theft,10H10,"Road, Street, or Sidewalk",2200-2299,COMMERCE,ST,-,1
7/13/16,3,Burglary,10H10,Residence or House,100-199,SAMPSON,ST,N,1
7/13/16,14,Theft,10H10,Restaurant or Cafeteria,2700-2799,NAVIGATION,-,-,1
7/14/16,10,Burglary,10H10,Warehouse,300-399,VELASCO,-,-,1
7/14/16,14,Theft,10H10,Department or Discount Store,4500-4599,CANAL,ST,-,1
7/15/16,10,Burglary,10H10,Warehouse,400-499,BRYAN,-,N,1
7/16/16,9,Theft,10H10,"Road, Street, or Sidewalk",2900-2999,COMMERCE,ST,-,1
7/19/16,13,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,COMMERCE,ST,-,1
7/19/16,17,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,CANAL,ST,-,1
7/19/16,19,Theft,10H10,Driveway,100-199,EVERTON,ST,N,1
7/20/16,17,Auto Theft,10H10,"Road, Street, or Sidewalk",300-399,HAGERMAN,ST,N,1
7/20/16,17,Theft,10H10,Residence or House,300-399,EDGEWOOD,ST,-,1
7/20/16,21,Aggravated Assault,10H10,Residence or House,4000-4099,GARROW,-,-,1
7/30/16,2,Aggravated Assault,10H20,Residence or House,1600-1699,BROADMOOR,ST,-,1
7/26/16,10,Theft,10H20,Driveway,5000-5099,LEELAND,-,-,1
7/27/16,15,Theft,10H20,Driveway,5000-5099,POLK,-,-,1
7/28/16,10,Theft,10H20,Strip Business Center Parking Lot,2000-2099,TELLEPSEN,-,-,1
7/21/16,13,Theft,10H20,"Other, Unknown, or Not Listed",5100-5199,JEFFERSON,ST,-,1
7/9/16,15,Burglary,10H20,Garage or Carport,4400-4499,LEELAND,-,-,1
7/8/16,17,Theft,10H20,Driveway,1500-1599,GODWIN,-,-,1
7/7/16,23,Theft,10H20,"Road, Street, or Sidewalk",1500-1599,MUNGER,ST,-,1
7/7/16,2,Auto Theft,10H20,Residence or House,4900-4999,RUSK,ST,-,1
7/3/16,10,Auto Theft,10H20,Driveway,1500-1599,LAWSON,-,-,2
7/2/16,16,Auto Theft,10H20,Apartment Parking Lot,1000-1099,TELEPHONE,-,-,1
7/2/16,17,Theft,10H20,Residence or House,4900-4999,WALKER,ST,-,1
7/2/16,11,Burglary,10H20,Residence or House,4400-4499,LEELAND,-,-,1
7/18/16,10,Robbery,10H20,Vehicle/Auto Sales/Lease/Auto Parts Store,900-999,TELEPHONE,-,-,1
7/18/16,22,Theft,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",4200-4299,LAMAR,-,-,1
7/15/16,21,Aggravated Assault,10H20,"Parks and Recreation, Zoo, Swimming Pool",4800-4899,RUSK,ST,-,2
7/13/16,16,Aggravated Assault,10H20,Miscellaneous Business (Non-Specific),4000-4099,POLK,-,-,1
7/12/16,12,Robbery,10H20,Miscellaneous Business (Non-Specific),3800-3899,POLK,-,-,1
7/12/16,13,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",900-999,ALTIC,ST,-,1
7/12/16,17,Aggravated Assault,10H20,"Other, Unknown, or Not Listed",4000-4099,POLK,-,-,2
7/12/16,9,Theft,10H20,Residence or House,1600-1699,MABLE,-,-,1
7/11/16,9,Burglary,10H20,Apartment,4200-4299,WALKER,ST,-,1
7/21/16,13,Theft,10H30,"Road, Street, or Sidewalk",1600-1699,DOWLING,ST,-,1
7/21/16,16,Aggravated Assault,10H30,Residence or House,1400-1499,EDMUNDSON,ST,-,1
7/22/16,0,Auto Theft,10H30,Service or Gas Station,3500-3599,GULF,FWY,-,1
7/22/16,22,Theft,10H30,Other Parking Lot,2400-2499,WALKER,ST,-,1
7/22/16,10,Theft,10H30,Restaurant or Cafeteria Parking Lot,1200-1299,SAINT EMANUEL,ST,-,1
7/24/16,18,Auto Theft,10H30,Commercial Parking Lot or Garage,2100-2199,MCKINNEY,ST,-,1
7/23/16,18,Theft,10H30,"Road, Street, or Sidewalk",400-499,BASTROP,ST,-,1
7/23/16,8,Burglary,10H30,Residence or House,1400-1499,MILBY,-,-,1
7/23/16,0,Theft,10H30,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS,ST,-,1
7/28/16,15,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,PEASE,-,-,1
7/27/16,23,Theft,10H30,Other Parking Lot,1000-1099,HUTCHINS,-,-,1
7/28/16,3,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,CAPITOL,ST,-,1
7/28/16,8,Auto Theft,10H30,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST,-,1
7/28/16,8,Burglary,10H30,Vehicle/Auto Sales/Lease/Auto Parts Store,3400-3499,GULF,FWY,-,1
7/27/16,14,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,TEXAS,ST,-,1
7/26/16,1,Robbery,10H30,"Road, Street, or Sidewalk",700-799,SAINT EMANUEL,ST,-,1
7/26/16,21,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,MCKINNEY,ST,-,1
7/25/16,1,Robbery,10H30,"Parks and Recreation, Zoo, Swimming Pool",900-999,LIVE OAK,-,-,1
7/25/16,8,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,SAINT EMANUEL,ST,-,1
7/29/16,16,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,PEASE,-,-,1
7/30/16,4,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-,-,1
7/29/16,0,Robbery,10H30,Other Parking Lot,2200-2299,RUSK,-,-,1
7/29/16,11,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-,-,1
7/31/16,6,Robbery,10H30,"Road, Street, or Sidewalk",900-999,SAINT EMANUEL,ST,-,1
7/1/16,0,Theft,10H30,Grocery Store or Supermarket Parking Lot,1000-1099,SAINT EMANUEL,ST,-,1
7/1/16,16,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,TEXAS,ST,-,1
7/1/16,18,Theft,10H30,"Road, Street, or Sidewalk",3700-3799,WAKEFOREST,ST,-,1
7/2/16,23,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,SAINT EMANUEL,ST,-,1
7/2/16,23,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,DOWLING,ST,-,1
7/4/16,18,Robbery,10H30,Bar or Night Club Parking Lot,2200-2299,PRESTON,ST,-,1
7/4/16,19,Theft,10H30,Driveway,1300-1399,NAGLE,-,-,1
7/8/16,9,Theft,10H30,Vacant Other Out Build/Monument/UnderConst,1000-1099,SAINT CHARLES,-,-,1
7/11/16,8,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,CAPITOL,ST,-,1
7/11/16,8,Theft,10H30,"Road, Street, or Sidewalk",2600-2699,TEXAS,ST,-,1
7/11/16,6,Theft,10H30,"Road, Street, or Sidewalk",400-499,BASTROP,ST,-,1
7/11/16,4,Burglary,10H30,Bar or Night Club,2000-2099,WALKER,ST,-,1
7/11/16,1,Theft,10H30,,1000-1099,ST EMANUEL,-,-,1
7/12/16,18,Auto Theft,10H30,Commercial Parking Lot or Garage,2000-2099,RUSK,ST,-,1
7/13/16,10,Theft,10H30,Commercial Parking Lot or Garage,900-999,SAINT EMANUEL,ST,-,1
7/15/16,20,Burglary,10H30,Residence or House,1400-1499,MILBY,-,-,1
7/16/16,1,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,MCKINNEY,ST,-,1
7/15/16,9,Auto Theft,10H30,Convenience Store Parking Lot,3500-3599,GULF,FWY,-,1
7/14/16,22,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,MCKINNEY,ST,-,1
7/16/16,21,Theft,10H30,Restaurant or Cafeteria Parking Lot,1000-1099,DOWLING,ST,-,1
7/16/16,22,Theft,10H30,Other Parking Lot,1000-1099,DOWLING,ST,-,1
7/20/16,7,Auto Theft,10H30,"Road, Street, or Sidewalk",1000-1099,SAINT EMANUEL,ST,-,1
7/31/16,22,Theft,10H30,Other Parking Lot,900-999,SAINT CHARLES,-,-,1
7/31/16,23,Theft,10H30,"Road, Street, or Sidewalk",1100-1199,SAINT EMANUEL,ST,-,1
7/31/16,7,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4600-4699,MAIN,ST,-,1
7/31/16,12,Theft,10H40,Clothing Store,4200-4299,MAIN,ST,-,1
7/29/16,13,Aggravated Assault,10H40,"Road, Street, or Sidewalk",900-999,RUTH,-,-,1
7/29/16,1,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,MILAM,-,-,1
7/28/16,18,Robbery,10H40,"Road, Street, or Sidewalk",2600-2699,HAMILTON,ST,-,1
7/29/16,16,Theft,10H40,Alley,2000-2099,MAIN,ST,-,1
7/30/16,0,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST,-,1
7/25/16,2,Theft,10H40,"Road, Street, or Sidewalk",3100-3199,SAN JACINTO,-,-,1
7/25/16,20,Auto Theft,10H40,"Road, Street, or Sidewalk",1700-1799,STUART,-,-,1
7/25/16,21,Robbery,10H40,Convenience Store Parking Lot,2100-2199,FANNIN,ST,-,1
7/26/16,18,Theft,10H40,Other Parking Lot,4100-4199,FANNIN,ST,-,1
7/26/16,13,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,MAIN,ST,-,1
7/26/16,1,Auto Theft,10H40,Other Parking Lot,3800-3899,FANNIN,ST,-,1
7/25/16,22,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,MILAM,-,-,1
7/26/16,3,Burglary,10H40,,3700-3799,TRAVIS,-,-,1
7/26/16,6,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,STUART,-,-,1
7/27/16,12,Theft,10H40,Restaurant or Cafeteria Parking Lot,2100-2199,MAIN,ST,-,1
7/27/16,0,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1
7/27/16,10,Theft,10H40,Garage or Carport,2900-2999,MILAM,-,-,1
7/27/16,11,Auto Theft,10H40,"Road, Street, or Sidewalk",1600-1699,FRANCIS,ST,-,1
7/28/16,15,Theft,10H40,Other Parking Lot,2800-2899,FANNIN,ST,-,1
7/28/16,14,Theft,10H40,Construction Site,3800-3899,ALMEDA,RD,-,1
7/28/16,16,Theft,10H40,"Road, Street, or Sidewalk",2000-2099,MAIN,ST,-,1
7/28/16,10,Theft,10H40,Bar or Night Club,3700-3799,FANNIN,ST,-,1
7/23/16,2,Theft,10H40,"Road, Street, or Sidewalk",3400-3499,SAN JACINTO,-,-,1
7/24/16,13,Robbery,10H40,Convenience Store,900-999,ALABAMA,ST,-,1
7/24/16,14,Auto Theft,10H40,"Road, Street, or Sidewalk",3000-3099,MILAM,-,-,1
7/22/16,10,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
7/22/16,2,Aggravated Assault,10H40,Bar or Night Club Parking Lot,3700-3799,FANNIN,ST,-,1
7/22/16,2,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
7/22/16,12,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1900-1999,MCGOWEN,ST,-,2
7/21/16,23,Theft,10H40,"Road, Street, or Sidewalk",1200-1299,ANITA,ST,-,1
7/21/16,21,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1
7/21/16,6,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,TUAM,-,-,1
7/21/16,8,Theft,10H40,Residence or House,1400-1499,DENNIS,ST,-,1
7/8/16,11,Theft,10H40,Restaurant or Cafeteria Parking Lot,1000-1099,GRAY,-,-,1
7/7/16,23,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,WINBERN,-,-,1
7/7/16,23,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1
7/7/16,19,Robbery,10H40,"Road, Street, or Sidewalk",1000-1099,WEBSTER,-,-,1
7/9/16,13,Theft,10H40,Bar or Night Club,3700-3799,FANNIN,ST,-,1
7/9/16,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
7/9/16,22,Aggravated Assault,10H40,Bus Station,2100-2199,MAIN,ST,-,2
7/5/16,7,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST,-,1
7/5/16,9,Theft,10H40,Service or Gas Station,1100-1199,GRAY,-,-,1
7/5/16,13,Aggravated Assault,10H40,Bar or Night Club,3700-3799,FANNIN,ST,-,1
7/4/16,13,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
7/4/16,11,Theft,10H40,Bar or Night Club,2300-2399,MAIN,ST,-,1
7/4/16,13,Rape,10H40,"Road, Street, or Sidewalk",4500-4599,MAIN,ST,-,1
7/4/16,8,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,BREMOND,ST,-,1
7/3/16,22,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,HADLEY,ST,-,1
7/3/16,17,Theft,10H40,Service or Gas Station,400-499,RICHMOND,AVE,-,1
7/3/16,17,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
7/7/16,4,Robbery,10H40,Bus Stop,1600-1699,MCGOWEN,ST,-,1
7/6/16,16,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,BREMOND,ST,-,1
7/6/16,18,Theft,10H40,Apartment Parking Lot,3500-3599,CHENEVERT,-,-,1
7/7/16,8,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,AUSTIN,ST,-,1
7/7/16,8,Theft,10H40,Light Rail Platform,4500-4599,MAIN,ST,-,1
7/7/16,11,Theft,10H40,"Road, Street, or Sidewalk",2600-2699,MILAM,-,-,1
7/6/16,7,Theft,10H40,Apartment Parking Lot,3500-3599,CHENEVERT,-,-,1
7/6/16,14,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,BREMOND,ST,-,1
7/5/16,17,Theft,10H40,Other Parking Lot,3600-3699,TRAVIS,-,-,1
7/5/16,21,Aggravated Assault,10H40,Residence or House,4400-4499,FANNIN,ST,-,1
7/6/16,2,Aggravated Assault,10H40,"Road, Street, or Sidewalk",400-499,RICHMOND,AVE,-,1
7/3/16,2,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CHENEVERT,-,-,1
7/3/16,12,Theft,10H40,Bar or Night Club,2300-2399,MAIN,ST,-,1
7/3/16,12,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
7/2/16,1,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,3700-3799,ALMEDA,RD,-,1
7/2/16,2,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,CHENEVERT,-,-,1
7/1/16,3,Theft,10H40,"Road, Street, or Sidewalk",3800-3899,FANNIN,ST,-,1
7/1/16,14,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,STUART,-,-,1
7/1/16,14,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN,ST,-,1
7/1/16,15,Burglary,10H40,Residence or House,3100-3199,AUSTIN,ST,-,1
7/1/16,10,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4200-4299,FANNIN,ST,-,1
7/20/16,2,Burglary,10H40,"Pawn, Resale Shop, or Flea Market",1400-1499,ELGIN,ST,-,1
7/20/16,3,Theft,10H40,Convenience Store Parking Lot,2200-2299,MAIN,ST,-,1
7/20/16,4,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4100-4199,MAIN,ST,-,1
7/20/16,4,Burglary,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
7/19/16,21,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",700-799,ELGIN,ST,-,1
7/20/16,0,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
7/20/16,7,Theft,10H40,,800-899,STUART,-,-,1
7/20/16,7,Burglary,10H40,Garage or Carport,2700-2799,AUSTIN,ST,-,1
