Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
8/24/16,5,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
8/24/16,19,Aggravated Assault,10H10,Convenience Store Parking Lot,2000-2099,RUNNELS,-,-,1
8/25/16,10,Theft,10H10,Residence or House,2300-2399,COMMERCE,ST,-,1
8/25/16,12,Aggravated Assault,10H10,Other Parking Lot,500-599,LOCKWOOD,DR,-,1
8/25/16,13,Theft,10H10,Commercial Parking Lot or Garage,100-199,N. GREENWOOD,ST,-,1
8/25/16,14,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
8/25/16,21,Theft,10H10,"Road, Street, or Sidewalk",400-499,EDGEWOOD,ST,-,1
8/27/16,15,Robbery,10H10,Car Wash,5300-5399,HARRISBURG,-,-,1
8/28/16,1,Aggravated Assault,10H10,Apartment,UNK,BRYAN,-,-,1
8/28/16,11,Theft,10H10,"Other, Unknown, or Not Listed",100-199,MILBY,ST,N,1
8/1/16,3,Theft,10H10,"Road, Street, or Sidewalk",200-299,SIDNEY,ST,N,1
8/1/16,10,Theft,10H10,"Church, Synagogue, or Temple Parking Lot",2400-2499,NAVIGATION,-,-,1
8/3/16,0,Theft,10H10,Residence or House,UNK,NORWOOD,-,-,1
8/3/16,14,Burglary,10H10,Residence or House,400-499,GRACE,ST,-,1
8/4/16,20,Auto Theft,10H10,Bar or Night Club Parking Lot,300-399,MILBY,-,-,1
8/4/16,23,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,MILBY,ST,N,1
8/5/16,13,Burglary,10H10,Residence or House,2600-2699,CANAL,ST,-,1
8/6/16,12,Theft,10H10,Vacant School or College/University,300-399,DRENNAN,-,N,1
8/7/16,2,Aggravated Assault,10H10,Apartment,200-299,BURR,-,N,1
8/7/16,2,Burglary,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,5100-5199,HARRISBURG,-,-,1
8/7/16,6,Aggravated Assault,10H10,Apartment,300-399,EVERTON,ST,N,1
8/7/16,7,Theft,10H10,Residence or House,100-199,ADAM,LN,-,1
8/8/16,13,Theft,10H10,Apartment Parking Lot,2500-2599,CANAL,ST,-,1
8/8/16,20,Burglary,10H10,Garage or Carport,3900-3999,FOX,ST,-,1
8/8/16,23,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,6100-6199,INDUSTRIAL,WAY,-,1
8/9/16,9,Theft,10H10,"Church, Synagogue, or Temple Parking Lot",2400-2499,NAVIGATION,-,-,1
8/10/16,3,Burglary,10H10,Bar or Night Club,4200-4299,NAVIGATION,-,-,1
8/10/16,12,Auto Theft,10H10,Residence or House,200-299,BURR,-,N,1
8/10/16,16,Aggravated Assault,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",200-299,STILES,-,-,2
8/10/16,16,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
8/10/16,16,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,COMMERCE,ST,-,1
8/10/16,21,Aggravated Assault,10H10,"Road, Street, or Sidewalk",300-399,YORK,-,-,1
8/12/16,12,Theft,10H10,Convenience Store Parking Lot,4700-4799,CANAL,ST,-,1
8/13/16,1,Aggravated Assault,10H10,Apartment,100-199,SAMPSON,ST,N,1
8/14/16,7,Auto Theft,10H10,Residence or House,1900-1999,RUNNELS,-,-,1
8/15/16,9,Burglary,10H10,Residence or House,3400-3499,CAPITOL,ST,-,1
8/16/16,2,Theft,10H10,Residence or House,300-399,SIDNEY,ST,N,1
8/18/16,7,Burglary,10H10,"Vacant Other Residential (Apartment,Dorms)",200-299,STILES,-,-,1
8/19/16,14,Theft,10H10,"Other, Unknown, or Not Listed",4600-4699,HARRISBURG,-,-,1
8/31/16,18,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,BRYAN,-,-,1
8/29/16,16,Theft,10H20,Department or Discount Store,4000-4099,POLK,-,-,1
8/29/16,17,Theft,10H20,Convenience Store,5300-5399,POLK,-,-,1
8/30/16,9,Burglary,10H20,Residence or House,1900-1999,DUMBLE,ST,-,1
8/27/16,10,Theft,10H20,"Road, Street, or Sidewalk",4400-4499,CLAY,-,-,1
8/26/16,17,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",4000-4099,LAMAR,-,-,1
8/26/16,13,Theft,10H20,Residence or House,1000-1099,DUMBLE,ST,-,1
8/25/16,16,Theft,10H20,"Other, Unknown, or Not Listed",5400-5499,POLK,-,-,1
8/25/16,16,Robbery,10H20,Grocery Store or Supermarket,4000-4099,POLK,-,-,1
8/23/16,10,Theft,10H20,Residence or House,1500-1599,GODWIN,-,-,1
8/6/16,21,Theft,10H20,Department or Discount Store,1500-1599,CULLEN,BLVD,-,1
8/6/16,17,Theft,10H20,Convenience Store,4200-4299,POLK,-,-,1
8/6/16,0,Aggravated Assault,10H20,Highway or Freeway,4200-4299,IH 45,-,S,2
8/3/16,12,Theft,10H20,Apartment,5000-5099,JEFFERSON,ST,-,1
8/3/16,11,Theft,10H20,Driveway,4700-4799,CLAY,-,-,1
8/18/16,4,Aggravated Assault,10H20,Residence or House,4300-4399,JEFFERSON,ST,-,1
8/17/16,9,Burglary,10H20,Apartment,4200-4299,POLK,-,-,1
8/17/16,14,Burglary,10H20,Apartment,1400-1499,MUNGER,ST,-,1
8/15/16,8,Theft,10H20,Commercial Parking Lot or Garage,400-499,TELEPHONE,-,-,1
8/11/16,20,Burglary,10H20,Residence or House,5200-5299,LEELAND,-,-,1
8/12/16,8,Theft,10H20,Restaurant or Cafeteria Parking Lot,4800-4899,RUSK,ST,-,1
8/10/16,17,Robbery,10H20,Department or Discount Store,800-899,TELEPHONE,-,-,1
8/10/16,9,Auto Theft,10H20,Miscellaneous Business (Non-Specific),1100-1199,TELEPHONE,-,-,1
8/30/16,19,Theft,10H20,Other Parking Lot,1500-1599,LOMBARDY,ST,-,1
8/23/16,16,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,LEELAND,-,-,1
8/23/16,6,Theft,10H30,Apartment Parking Lot,2100-2199,RUSK,ST,-,1
8/25/16,0,Theft,10H30,"Road, Street, or Sidewalk",3200-3299,MCKINNEY,ST,-,1
8/23/16,21,Theft,10H30,Other Parking Lot,1300-1399,PALMER,ST,-,1
8/23/16,22,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,CAPITOL,ST,-,1
8/26/16,18,Theft,10H30,"Road, Street, or Sidewalk",700-799,DELANO,-,-,1
8/26/16,22,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,LAMAR,-,-,1
8/26/16,23,Theft,10H30,Commercial Parking Lot or Garage,1100-1199,SAINT EMANUEL,ST,-,1
8/27/16,11,Theft,10H30,Commercial Parking Lot or Garage,2300-2399,CONGRESS,-,-,1
8/27/16,13,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,TEXAS,ST,-,1
8/29/16,14,Theft,10H30,Warehouse,2000-2099,MILBY,-,-,1
8/29/16,14,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,BELL,ST,-,1
8/29/16,0,Theft,10H30,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST,-,1
8/29/16,4,Burglary,10H30,Restaurant or Cafeteria,2000-2099,COMMERCE,ST,-,1
8/29/16,6,Theft,10H30,Commercial Parking Lot or Garage,800-899,SAINT EMANUEL,ST,-,1
8/28/16,10,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,BELL,ST,-,1
8/28/16,16,Auto Theft,10H30,Other Parking Lot,300-399,BASTROP,ST,-,1
8/27/16,23,Theft,10H30,Other Parking Lot,2200-2299,LAMAR,-,-,1
8/27/16,23,Theft,10H30,Other Parking Lot,2400-2499,LAMAR,-,-,1
8/27/16,23,Theft,10H30,"Road, Street, or Sidewalk",2800-2899,CLAY,-,-,1
8/28/16,2,Robbery,10H30,"Road, Street, or Sidewalk",1700-1799,SAINT EMANUEL,ST,-,1
8/27/16,21,Robbery,10H30,"Road, Street, or Sidewalk",3200-3299,MCKINNEY,ST,-,1
8/27/16,22,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,SAINT CHARLES,-,-,1
8/1/16,0,Theft,10H30,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST,-,1
8/1/16,6,Burglary,10H30,Restaurant or Cafeteria,2000-2099,COMMERCE,ST,-,1
8/3/16,0,Theft,10H30,Bar or Night Club,2000-2099,LEELAND,-,-,1
8/2/16,6,Theft,10H30,"Road, Street, or Sidewalk",600-699,NAGLE,-,-,1
8/2/16,9,Theft,10H30,Bar or Night Club,3400-3499,LEELAND,-,-,1
8/1/16,16,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,WALKER,ST,-,1
8/1/16,22,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,SAINT EMANUEL,ST,-,1
8/1/16,23,Theft,10H30,Other Parking Lot,900-999,BASTROP,ST,-,1
8/3/16,13,Theft,10H30,Apartment Parking Lot,2100-2199,TEXAS,ST,-,1
8/4/16,7,Auto Theft,10H30,"Road, Street, or Sidewalk",1700-1799,ADEN,DR,-,1
8/5/16,23,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
8/6/16,0,Theft,10H30,Other Parking Lot,2200-2299,MCKINNEY,ST,-,1
8/5/16,12,Theft,10H30,Commercial Building,3400-3499,LEELAND,-,-,1
8/7/16,4,Theft,10H30,Bar or Night Club Parking Lot,2000-2099,LEELAND,-,-,1
8/7/16,11,Auto Theft,10H30,Garage or Carport,2400-2499,CAPITOL,ST,-,1
8/8/16,8,Theft,10H30,Residence or House,2200-2299,DALLAS,ST,-,1
