Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
5/1/16,4,Burglary,20G30,Apartment,3400-3499,WALNUT BEND,LN,-,1
5/1/16,0,Robbery,20G30,Apartment Parking Lot,2600-2699,DAIRY ASHFORD ROAD,-,S,1
5/3/16,12,Burglary,20G30,Apartment,3300-3399,ROGERDALE,RD,-,1
5/3/16,11,Theft,20G30,Hotel or Motel Parking Lot,10600-10699,WESTPARK,DR,-,1
5/3/16,16,Theft,20G30,Specialty Store (Non-Specific),UNK,KIRKWOOD,DR,-,1
5/4/16,8,Theft,20G30,Apartment,3300-3399,ROGERDALE,RD,-,1
5/4/16,7,Theft,20G30,Commercial Parking Lot or Garage,11200-11299,WESTHEIMER,RD,-,1
5/3/16,20,Theft,20G30,Grocery Store or Supermarket Parking Lot,2600-2699,KIRKWOOD,DR,S,1
5/5/16,7,Theft,20G30,Miscellaneous Business (Non-Specific),3100-3199,HAYES,-,-,1
5/4/16,20,Theft,20G30,Service or Gas Station,11700-11799,WESTHEIMER,RD,-,1
5/4/16,21,Theft,20G30,Vacant Grocery Store or Supermarket,12500-12599,WESTHEIMER,RD,-,1
5/4/16,12,Theft,20G30,Drug Store or Medical Supply,11500-11599,WESTHEIMER,RD,-,1
5/4/16,12,Theft,20G30,Apartment,3300-3399,HAYES,-,-,1
5/4/16,13,Aggravated Assault,20G30,"Road, Street, or Sidewalk",2800-2899,HAYES,-,-,1
5/5/16,16,Burglary,20G30,Apartment,3000-3099,WOODLAND PARK,DR,-,1
5/6/16,1,Theft,20G30,Apartment Parking Lot,10700-10799,WESTHEIMER,RD,-,1
5/5/16,21,Theft,20G30,Other Parking Lot,10700-10799,WESTHEIMER,RD,-,1
5/5/16,13,Burglary,20G30,Apartment,3000-3099,WOODLAND PARK,DR,-,1
5/5/16,12,Burglary,20G30,Condominium,3000-3099,WOODLAND PARK,DR,-,1
5/6/16,16,Theft,20G30,Miscellaneous Business (Non-Specific),2600-2699,KIRKWOOD,DR,S,1
5/6/16,20,Burglary,20G30,Residence or House,3600-3699,FALLEN PALMS,CT,-,1
5/6/16,18,Auto Theft,20G30,Grocery Store or Supermarket Parking Lot,11800-11899,MEADOWGLEN,LN,-,1
5/6/16,13,Theft,20G30,Apartment Parking Lot,10700-10799,MEADOWGLEN,LN,-,1
5/6/16,11,Theft,20G30,"Gym, Recreat, Club House, Indoor Pool, Spa",11300-11399,WESTHEIMER,RD,-,1
5/6/16,10,Theft,20G30,Other Parking Lot,11300-11399,WESTHEIMER,RD,-,1
5/6/16,7,Theft,20G30,Apartment,11200-11299,WESTPARK,DR,-,1
5/9/16,11,Theft,20G30,Miscellaneous Business (Non-Specific),3200-3299,DAIRY ASHFORD ROAD,-,S,1
5/7/16,21,Theft,20G30,Commercial Parking Lot or Garage,12100-12199,WESTHEIMER,RD,-,1
5/7/16,21,Theft,20G30,Restaurant or Cafeteria Parking Lot,12300-12399,WESTHEIMER,RD,-,1
5/7/16,11,Theft,20G30,"Gym, Recreat, Club House, Indoor Pool, Spa",12500-12599,WESTHEIMER,RD,-,1
5/7/16,14,Robbery,20G30,Apartment,2800-2899,WALNUT BEND,LN,-,1
5/7/16,6,Burglary,20G30,Apartment,10600-10699,MEADOWGLEN,LN,-,1
5/7/16,8,Theft,20G30,Department or Discount Store,2700-2799,KIRKWOOD,DR,S,1
5/8/16,23,Auto Theft,20G30,Apartment Parking Lot,12300-12399,RICHMOND,AVE,-,2
5/9/16,1,Robbery,20G30,Apartment Parking Lot,2800-2899,SHADOWBRIAR,DR,-,1
5/8/16,22,Theft,20G30,Drug Store or Medical Supply,12500-12599,WESTHEIMER,RD,-,1
5/8/16,4,Aggravated Assault,20G30,Strip Business Center Parking Lot,2600-2699,WILCREST,DR,-,1
5/8/16,6,Theft,20G30,Residence or House,2800-2899,DAIRY ASHFORD ROAD,-,S,1
5/8/16,6,Theft,20G30,Residence or House,3300-3399,ROGERDALE,RD,-,1
5/10/16,20,Theft,20G30,Convenience Store,11100-11199,WESTHEIMER,RD,-,1
5/10/16,20,Theft,20G30,Restaurant or Cafeteria Parking Lot,12300-12399,WESTHEIMER,RD,-,1
5/11/16,10,Theft,20G30,Commercial Parking Lot or Garage,10700-10799,WESTHEIMER,RD,-,1
5/11/16,8,Theft,20G30,Grocery Store or Supermarket Parking Lot,2700-2799,KIRKWOOD,DR,S,1
5/11/16,20,Theft,20G30,Restaurant or Cafeteria Parking Lot,10600-10699,WESTPARK,DR,-,1
5/11/16,17,Burglary,20G30,Apartment,2800-2899,SHADOWBRIAR,DR,-,1
5/11/16,13,Theft,20G30,Specialty Store (Non-Specific),12500-12599,WESTHEIMER,RD,-,1
5/11/16,14,Theft,20G30,Other Parking Lot,10700-10799,WESTHEIMER,RD,-,1
5/11/16,14,Theft,20G30,Commercial Parking Lot or Garage,2600-2699,HAYES,-,-,1
5/11/16,15,Theft,20G30,Commercial Parking Lot or Garage,2700-2799,KIRKWOOD,DR,S,1
5/10/16,13,Theft,20G30,Commercial Parking Lot or Garage,12500-12599,WESTHEIMER,RD,-,1
5/10/16,18,Burglary,20G30,Apartment,3200-3299,WOODLAND PARK,DR,-,1
5/9/16,22,Theft,20G30,Apartment Parking Lot,2800-2899,DAIRY ASHFORD ROAD,-,S,1
5/10/16,0,Robbery,20G30,Strip Business Center Parking Lot,2600-2699,DAIRY ASHFORD ROAD,-,S,1
5/10/16,3,Theft,20G30,Grocery Store or Supermarket,11800-11899,WESTHEIMER,RD,-,1
5/12/16,8,Auto Theft,20G30,Apartment Parking Lot,2700-2799,WOODLAND PARK,DR,-,1
5/12/16,8,Theft,20G30,Apartment Parking Lot,3000-3099,WALNUT BEND,LN,-,1
5/12/16,9,Theft,20G30,Hospital Parking Lot,12100-12199,RICHMOND,AVE,-,1
5/12/16,11,Theft,20G30,Apartment Parking Lot,2700-2799,WOODLAND PARK,DR,-,1
5/12/16,1,Burglary,20G30,Apartment,10600-10699,MEADOWGLEN,LN,-,1
5/11/16,23,Theft,20G30,Commercial Parking Lot or Garage,11100-11199,WESTHEIMER,RD,-,1
5/12/16,18,Burglary,20G30,Apartment,2800-2899,WALNUT BEND,LN,-,1
5/12/16,12,Theft,20G30,Grocery Store or Supermarket,11800-11899,WESTHEIMER,RD,-,1
5/12/16,23,Theft,20G30,Other Parking Lot,1000-1099,ADDICKS-HOWELL,RD,-,1
5/13/16,0,Theft,20G30,Apartment Parking Lot,10800-10899,RICHMOND,AVE,-,1
5/13/16,6,Theft,20G30,Residence or House,10800-10899,RICHMOND,AVE,-,1
5/13/16,6,Theft,20G30,Apartment Parking Lot,3400-3499,WALNUT BEND,LN,-,1
5/13/16,8,Theft,20G30,Apartment Parking Lot,3400-3499,WALNUT BEND,LN,-,1
5/13/16,14,Burglary,20G30,Apartment,10700-10799,MEADOWGLEN,LN,-,1
5/13/16,10,Theft,20G30,Apartment Parking Lot,10800-10899,RICHMOND,AVE,-,1
5/13/16,14,Theft,20G30,Apartment Parking Lot,10800-10899,RICHMOND,AVE,-,1
5/17/16,10,Theft,20G30,Miscellaneous Business (Non-Specific),2700-2799,KIRKWOOD,DR,S,1
5/17/16,11,Aggravated Assault,20G30,Apartment,3400-3499,WALNUT BEND,LN,-,1
5/17/16,1,Robbery,20G30,Apartment Parking Lot,10600-10699,MEADOWGLEN,LN,-,1
5/16/16,19,Theft,20G30,Grocery Store or Supermarket,11800-11899,WESTHEIMER,RD,-,1
5/15/16,20,Theft,20G30,Bank,10400-10499,RICHMOND,AVE,-,1
5/15/16,21,Theft,20G30,Clothing Store,12500-12599,WESTHEIMER,RD,-,1
5/15/16,22,Robbery,20G30,Restaurant or Cafeteria Parking Lot,11900-11999,WESTHEIMER,RD,-,1
5/16/16,12,Theft,20G30,Hotel or Motel Parking Lot,10600-10699,WESTPARK,DR,-,1
5/16/16,10,Theft,20G30,Strip Business Center Parking Lot,10900-10999,WESTHEIMER,RD,-,1
5/15/16,9,Burglary,20G30,Apartment,11700-11799,WESTHEIMER,RD,-,1
5/15/16,10,Burglary,20G30,Apartment,11700-11799,WESTHEIMER,RD,-,1
5/15/16,12,Theft,20G30,Apartment,2800-2899,HAYES,-,-,1
5/14/16,20,Burglary,20G30,Apartment,3100-3199,HAYES,-,-,1
5/13/16,21,Theft,20G30,Bar or Night Club Parking Lot,10600-10699,WESTHEIMER,RD,-,1
5/13/16,20,Burglary,20G30,Apartment,3000-3099,WOODLAND PARK,DR,-,1
5/19/16,10,Auto Theft,20G30,Apartment Parking Lot,11300-11399,RICHMOND,AVE,-,1
5/19/16,9,Theft,20G30,"Gym, Recreat, Club House, Indoor Pool, Spa",10700-10799,WESTHEIMER,RD,-,1
5/19/16,12,Robbery,20G30,Restaurant or Cafeteria Parking Lot,12200-12299,WESTHEIMER,RD,-,1
5/19/16,11,Theft,20G30,"Gym, Recreat, Club House, Indoor Pool, Spa",10700-10799,WESTHEIMER,RD,-,1
5/19/16,21,Theft,20G30,Department or Discount Store,10800-10899,WESTHEIMER,RD,-,1
5/19/16,21,Theft,20G30,Restaurant or Cafeteria Parking Lot,12100-12199,WESTHEIMER,RD,-,1
5/19/16,18,Burglary,20G30,Apartment,3000-3099,WOODLAND PARK,DR,-,1
5/19/16,17,Aggravated Assault,20G30,Apartment,12400-12499,OXFORD PARK,DR,-,3
