Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
3/11/16,12,Robbery,10H10,Service or Gas Station,3300-3399,NAVIGATION,-,-,1
3/11/16,16,Theft,10H10,Residence or House,300-399,BRYAN,-,N,1
3/16/16,2,Auto Theft,10H10,Residence or House,5100-5199,SHERMAN,-,-,1
3/16/16,17,Theft,10H10,"Road, Street, or Sidewalk",5500-5599,SHERMAN,-,-,1
3/17/16,10,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
3/17/16,12,Theft,10H10,Driveway,5400-5499,TEXAS,ST,-,1
3/20/16,4,Aggravated Assault,10H10,Residence or House,4700-4799,BRADY,ST,-,1
3/20/16,10,Burglary,10H10,Residence or House,200-299,STILES,-,-,1
3/1/16,18,Theft,10H10,Residence or House,2100-2199,CANAL,ST,-,1
3/2/16,19,Aggravated Assault,10H10,Residence or House,100-199,EDGEWOOD,ST,-,1
3/4/16,7,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
3/4/16,10,Theft,10H10,Apartment,100-199,EASTWOOD,ST,-,1
3/4/16,14,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
3/5/16,12,Theft,10H10,Residence or House,2300-2399,COMMERCE,ST,-,1
3/5/16,17,Theft,10H10,Restaurant or Cafeteria,2300-2399,CANAL,ST,-,1
3/6/16,21,Burglary,10H10,Apartment,100-199,EASTWOOD,ST,N,1
3/8/16,9,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3400-3499,HARRISBURG,-,-,1
3/8/16,19,Theft,10H10,"Other, Unknown, or Not Listed",300-399,BOBB,-,-,1
3/10/16,14,Theft,10H10,Other Parking Lot,3900-3999,CANAL,ST,-,1
3/23/16,7,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
3/23/16,11,Theft,10H10,Residence or House,100-199,CLIFTON,-,-,1
3/24/16,15,Theft,10H10,Residence or House,UNK,NORWOOD,-,-,1
3/25/16,6,Theft,10H10,Commercial Parking Lot or Garage,2400-2499,KENNEDY,-,-,1
3/25/16,19,Auto Theft,10H10,Service or Gas Station,400-499,LOCKWOOD,DR,-,1
3/25/16,22,Theft,10H10,Driveway,200-299,NAGLE,-,-,1
3/26/16,5,Rape,10H10,Apartment,2100-2199,RUNNELS,-,-,1
3/26/16,12,Theft,10H10,Residence or House,5700-5799,SHERMAN,-,-,1
3/26/16,20,Robbery,10H10,Restaurant or Cafeteria Parking Lot,300-399,LOCKWOOD,DR,S,1
3/27/16,7,Theft,10H10,Social Services or Public Charities,300-399,JENSEN,DR,S,1
3/27/16,16,Burglary,10H10,Residence or House,200-299,STILES,-,-,1
3/29/16,10,Theft,10H10,Residence or House,6300-6399,BRADY,ST,-,1
3/29/16,18,Rape,10H10,Residence or House,2000-2099,RUNNELS,-,-,1
3/30/16,17,Burglary,10H10,Apartment,1900-1999,RUNNELS,-,-,1
3/31/16,22,Theft,10H10,Residence or House,2300-2399,ANN,ST,-,1
3/17/16,11,Burglary,10H20,Garage or Carport,1400-1499,PEARSON,-,-,1
3/17/16,2,Robbery,10H20,"Road, Street, or Sidewalk",4000-4099,MCKINNEY,ST,-,1
3/18/16,16,Robbery,10H20,Residence or House,4300-4399,POLK,-,-,1
3/10/16,18,Auto Theft,10H20,Park and Ride Terminal,1200-1299,MUNGER,ST,-,1
3/11/16,3,Burglary,10H20,"Furniture, Appliances, Radios, TV Store",1100-1199,TELEPHONE,-,-,1
3/12/16,13,Auto Theft,10H20,Driveway,1400-1499,PEARSON,-,-,1
3/14/16,8,Theft,10H20,,3800-3899,LAMAR,-,-,1
3/8/16,10,Theft,10H20,Apartment Parking Lot,5100-5199,BELL,ST,-,1
3/6/16,9,Theft,10H20,"Road, Street, or Sidewalk",1400-1499,LOMBARDY,ST,-,1
3/4/16,12,Theft,10H20,Driveway,4100-4199,WALKER,ST,-,1
3/1/16,21,Theft,10H20,Residence or House,5100-5199,JEFFERSON,ST,-,1
3/1/16,0,Theft,10H20,Driveway,4700-4799,JEFFERSON,ST,-,1
3/30/16,18,Robbery,10H20,"Road, Street, or Sidewalk",4900-4999,PARK,DR,-,1
3/27/16,22,Rape,10H20,Residence or House,1500-1599,TELEPHONE,-,-,1
3/25/16,18,Theft,10H20,Garage or Carport,1400-1499,PEARSON,-,-,1
