Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
4/10/16,20,Robbery,10H10,"Road, Street, or Sidewalk",4000-4099,MILBY,-,-,1
4/11/16,19,Aggravated Assault,10H10,"Road, Street, or Sidewalk",400-499,YORK,-,-,2
4/12/16,20,Robbery,10H10,Apartment,1900-1999,RUNNELS,-,-,1
4/13/16,2,Auto Theft,10H10,Driveway,100-199,SIDNEY,-,-,1
4/14/16,3,Burglary,10H10,Service or Gas Station,3300-3399,CANAL,ST,-,1
4/15/16,11,Auto Theft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
4/15/16,14,Robbery,10H10,"Road, Street, or Sidewalk",200-299,CAYLOR,-,-,1
4/16/16,15,Theft,10H10,Residence or House,200-299,ENGEL,ST,-,1
4/18/16,11,Theft,10H10,Driveway,3400-3499,NAVIGATION,-,-,1
4/18/16,15,Theft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
4/20/16,22,Robbery,10H10,Other Parking Lot,5000-5099,HARRISBURG,-,-,1
4/1/16,12,Theft,10H10,Sexually Oriented Club,3100-3199,BERING,-,-,1
4/3/16,18,Burglary,10H10,"Church, Synagogue, or Temple",5000-5099,NAVIGATION,-,-,1
4/3/16,20,Theft,10H10,Other Parking Lot,900-999,YORK,-,N,1
4/3/16,19,Burglary,10H10,Miscellaneous Business (Non-Specific),4700-4799,HARRISBURG,-,-,1
4/5/16,19,Aggravated Assault,10H10,Residence or House,100-199,MILBY,ST,N,2
4/7/16,19,Theft,10H10,Department or Discount Store,3400-3499,NAVIGATION,-,-,1
4/8/16,5,Theft,10H10,Residence or House,2100-2199,CANAL,ST,-,1
4/9/16,17,Theft,10H10,Apartment,3400-3499,HARRISBURG,-,-,1
4/22/16,12,Theft,10H10,Other Parking Lot,300-399,JENSEN,DR,S,1
4/22/16,13,Theft,10H10,Commercial Parking Lot or Garage,2100-2199,CANAL,ST,-,1
4/22/16,18,Theft,10H10,Apartment,1900-1999,RUNNELS,-,-,1
4/24/16,21,Auto Theft,10H10,Fire Station,2800-2899,NAVIGATION,-,-,1
4/26/16,2,Aggravated Assault,10H10,Apartment,2100-2199,CANAL,ST,-,1
4/26/16,8,Theft,10H10,Residence or House,4200-4299,NAVIGATION,-,-,1
4/26/16,11,Theft,10H10,Body Shop,300-399,ADAMS,ST,-,1
4/28/16,14,Burglary,10H10,Residence or House,200-299,STILES,-,-,1
4/28/16,20,Burglary,10H10,Garage or Carport,UNK,HUNT,-,-,1
4/30/16,6,Auto Theft,10H10,Residence or House,2100-2199,CANAL,ST,-,1
4/18/16,14,Aggravated Assault,10H20,Residence or House,4500-4599,PARK,DR,-,1
4/11/16,9,Theft,10H20,Bus Stop,1200-1299,MUNGER,ST,-,1
4/8/16,7,Theft,10H20,"Vacant Hotel, Motel, Etc.",4100-4199,GULF,FWY,-,1
4/3/16,13,Theft,10H20,Apartment Parking Lot,4600-4699,WALKER,ST,-,1
4/1/16,21,Burglary,10H20,Apartment,4200-4299,RUSK,ST,-,1
4/2/16,13,Theft,10H20,Other Parking Lot,5400-5499,LAWNDALE,-,-,1
4/29/16,19,Robbery,10H20,Grocery Store or Supermarket,4000-4099,POLK,-,-,1
4/30/16,19,Theft,10H20,Bar or Night Club,1400-1499,PEARSON,-,-,1
